編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLKMQHJGFAT27DA,36,103.49,住家用,鋼筋混凝土造,77年3月28日,三層,一層 二層 三層,全筆移轉
RPTNMLMLQHJGFAT17DA,38,133.43,住家用,加強磚造,76年1月20日,二層,一層 二層 屋頂突出物,全筆移轉
RPQNMLTJRHJGFBT57DA,73,51.29,住商用,磚造,40年8月15日,一層,一層,全筆移轉
RPQNMLKKQHJGFCT76DA,1,83.40,集合住宅,鋼筋混凝土造,112年11月1日,七層,四層 陽台,全筆移轉
RPQNMLKKQHJGFCT76DA,1,33.99,本共有部分之項目有機械室、台電、水箱、梯間、停車空間、樓梯間及電梯間等七項。,鋼筋混凝土造,112年11月1日,七層,,持分移轉
RPWNMLRKQHJGFCT08DA,1,33.43,本共有部分之項目有機房、電信室、管理維護空間、停車空間及公共梯間等五項。,鋼筋混凝土構造,112年3月30日,七層,,持分移轉
RPWNMLRKQHJGFCT08DA,1,72.76,集合住宅,鋼筋混凝土造,112年3月30日,七層,六層 陽台,全筆移轉
RPPNMLKKRHJGFCT76DA,25,13.18,住家用,鋼筋混凝土造,88年11月30日,五層,五層,全筆移轉
RPPNMLKKRHJGFCT76DA,25,5.91,梯間、機械室、電信室、台電配電室、水塔、停車空間,鋼筋混凝土造,88年11月30日,五層,,持分移轉
RPQNMLOJRHJGFDT27DA,,96.10,集合住宅,鋼筋混凝土造,113年4月25日,五層,五層 陽台,全筆移轉
RPQNMLOJRHJGFDT27DA,,43.01,本共有部分之項目有公共梯間、停車空間、樓梯間、機械室等４項,鋼筋混凝土造,113年4月25日,五層,,持分移轉
RPXNMLRKQHJGFCT18DA,1,34.21,本共有部分之項目有機房、電信室、管理維護空間、停車空間及公共梯間等五項。,鋼筋混凝土構造,112年3月30日,七層,,持分移轉
RPXNMLRKQHJGFCT18DA,1,76.34,集合住宅,鋼筋混凝土造,112年3月30日,七層,七層 陽台,全筆移轉
RPPNMLOJRHJGFDT17DA,29,110.82,住家用,加強磚造,84年9月21日,二層,一層 二層 屋頂突出物,全筆移轉
RPQPMLQJRHJGFCT57DA,20,5.97,見使用執照,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQPMLQJRHJGFCT57DA,20,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,持分移轉
RPQPMLQJRHJGFCT57DA,20,12.41,見使用執照,鋼筋混凝土造,93年7月12日,六層,二層 陽台,全筆移轉
RPVNMLTJRHJGFAT97DA,50,38.88,住家用,加強磚造,63年12月11日,一層,一層,全筆移轉
RPTOMLKMQHJGFAT17DA,,52.76,集合住宅,鋼筋混凝土造,113年5月6日,五層,四層 陽台,全筆移轉
RPTOMLKMQHJGFAT17DA,,31.55,停車空間、公共梯間、樓梯間,鋼筋混凝土造,113年5月6日,五層,,持分移轉
RPWNMLKKRHJGFAT27DA,1,95.51,集合住宅,鋼筋混凝土造,112年5月16日,七層,四層 陽台,全筆移轉
RPWNMLKKRHJGFAT27DA,1,50.97,樓梯間、停車空間、機械室、電信室、消防泵浦室,鋼筋混凝土造,112年5月16日,七層,,持分移轉
RPQOMLTJRHJGFAT57DA,,79.81,集合住宅,鋼筋混凝土造,113年4月25日,十層,七層 陽台,全筆移轉
RPQOMLTJRHJGFAT57DA,,61.95,防空避難設施、停車空間、樓梯間、汽車電梯昇降機道、梯廳、消防機房、電機室、公共梯間、昇降機道、發電機房、昇降機機械房等１１項,鋼筋混凝土造,113年4月25日,十層,,持分移轉
RPSNMLQJRHJGFET77DA,43,94.86,住商用,鋼筋混凝土加強磚造,70年12月15日,二層,一層 二層 騎樓,持分移轉
