編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKRHJGFFT57EA,海鷗段,2.60,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,02050002
RPPNMLLKRHJGFCT96EA,竹南段,580.00,非都市：特定農業區 ; 非都市編定：農牧用地,432,36,持分移轉,02420000
RPRNMLKKRHJGFFT37EA,外獅段,3124.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00310000
RPPNMLQKRHJGFFT77EA,東海段,124.00,非都市：工業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,06320003
RPPNMLKKRHJGFET96DA,八瑤段,10000.00,非都市：山坡地保育區 ; 非都市編定：林業用地,1,1,全筆移轉,00310001
RPQNMLKKRHJGFDT07EA,天台段,17.55,都市：其他:農業區,19739,1755,持分移轉,07070007
RPPNMLKKRHJGFET96DA,高士段,2200.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,01910000
RPPNMLKKRHJGFET96DA,高士段,2930.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,06490000
RPSNMLNKRHJGFFT77EA,海鷗段,8.44,非都市：一般農業區 ; 非都市編定：農牧用地,4,1,持分移轉,02040000
RPPOMLKKRHJGFAT66DA,徑仔段,826.04,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00230000
RPPOMLKKRHJGFAT66DA,徑仔段,875.46,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00530000
RPOOMLTJRHJGFAT37DA,繁昌段,.15,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130001
RPOOMLTJRHJGFAT37DA,繁昌段,.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130002
RPOOMLTJRHJGFAT37DA,繁昌段,.59,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130003
RPOOMLTJRHJGFAT37DA,繁昌段,.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130004
RPOOMLTJRHJGFAT37DA,繁昌段,1.37,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130005
RPOOMLTJRHJGFAT37DA,繁昌段,1.83,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130006
RPOOMLTJRHJGFAT37DA,繁昌段,2.32,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130007
RPOOMLTJRHJGFAT37DA,繁昌段,2.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130008
RPOOMLTJRHJGFAT37DA,繁昌段,21.47,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130009
RPOOMLTJRHJGFAT37DA,繁昌段,6.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130011
RPOOMLTJRHJGFAT37DA,繁昌段,9.48,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130012
RPOOMLTJRHJGFAT37DA,繁昌段,10.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130013
RPOOMLTJRHJGFAT37DA,繁昌段,4.72,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130014
RPOOMLTJRHJGFAT37DA,繁昌段,3.79,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130015
RPOOMLTJRHJGFAT37DA,繁昌段,5.63,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130016
RPOOMLTJRHJGFAT37DA,繁昌段,6.24,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130017
RPOOMLTJRHJGFAT37DA,繁昌段,3.80,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130018
RPOOMLTJRHJGFAT37DA,繁昌段,8.33,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130019
RPOOMLTJRHJGFAT37DA,繁昌段,63.27,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130020
RPOOMLTJRHJGFAT37DA,繁昌段,19.34,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130021
RPOOMLTJRHJGFAT37DA,繁昌段,3.18,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130022
RPOOMLTJRHJGFAT37DA,繁昌段,25.14,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130023
RPOOMLTJRHJGFAT37DA,繁昌段,29.98,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130024
RPOOMLTJRHJGFAT37DA,繁昌段,19.09,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130026
RPOOMLTJRHJGFAT37DA,繁昌段,15.92,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130027
RPOOMLTJRHJGFAT37DA,繁昌段,10.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130028
RPOOMLTJRHJGFAT37DA,繁昌段,12.08,非都市：鄉村區 ; 非都市編定：乙種建築用地,26400,961,持分移轉,06130029
