編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPQNMLKKQHJGFCT76DA,一樓平面,0,,一樓
RPWNMLRKQHJGFCT08DA,一樓平面,1100000,,一樓
RPQNMLOJRHJGFDT27DA,一樓平面,0,,一樓
RPXNMLRKQHJGFCT18DA,一樓平面,1600000,,一樓
RPWNMLKKRHJGFAT27DA,一樓平面,1300000,,一樓
RPQOMLTJRHJGFAT57DA,升降平面,1800000,13.78,地下二樓
RPOOMLPJQHJGFAT86DA,一樓平面,0,,一樓
RPPOMLPJQHJGFAT96DA,一樓平面,0,,一樓
RPQNMLRJRHJGFAT27DA,一樓平面,0,,一樓
RPPNMLOKPHJGFCT96DA,一樓平面,0,,一樓
RPPNMLPJRHJGFAT96DA,坡道機械,0,,地下一樓
RPOOMLKKRHJGFCT76DA,一樓平面,0,,一樓
RPOOMLKKRHJGFCT76DA,一樓平面,0,,一樓
RPWNMLSJQHJGFAT87DA,坡道平面,0,,地下一樓
RPQNMLQJRHJGFAT17DA,一樓平面,0,,一樓
RPSNMLQJRHJGFAT37DA,一樓平面,0,,一樓
RPSOMLPJQHJGFAT27DA,一樓平面,0,,一樓
RPTOMLPJQHJGFAT37DA,一樓平面,0,,一樓
RPUOMLPJQHJGFAT47DA,一樓平面,0,,一樓
RPWOMLPJQHJGFAT67DA,一樓平面,0,,一樓
RPTNMLLMPHJGFDT37DA,一樓平面,0,,一樓
RPPNMLOJRHJGFCT07DA,一樓平面,1000000,10.88,一樓
RPUOMLLLQHJGFAT27DA,一樓平面,0,,一樓
RPPNMLTJRHJGFAT37DA,一樓平面,0,,一樓
RPSOMLTJRHJGFAT77DA,一樓平面,1300000,10.45,一樓
RPVOMLTLPHJGFAT08DA,坡道平面,1600000,45.87,地下一樓
RPVOMLTLPHJGFAT08DA,坡道平面,1400000,29.77,地下一樓
RPQNMLLKRHJGFAT76DA,坡道平面,0,,地下一樓
RPSNMLLKRHJGFAT96DA,一樓平面,0,,一樓
RPTNMLLKRHJGFAT07DA,一樓平面,0,,一樓
RPPNMLQJRHJGFAT07DA,一樓平面,0,,一樓
