鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,22.48,,鄉村區,乙種建築用地,1130812,土地1建物1車位1,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,98.58,3,2,2,有,無,8300000,82518,一樓平面,13.75,1300000,,RPPNMLRKQHJGFAT17CB,屏東印象,E1棟2樓號,
屏東市,房地(土地+建物),屏東縣屏東市桂林街貴陽街交叉口,26.39,住,,,1130815,土地1建物1車位0,五層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.3,2,2,2,有,無,8180000,101868,,0.0,0,,RPPNMLTKQHJGFAT37CB,喜?京站,H棟5F號,
屏東市,房地(土地+建物),屏東縣屏東市桂林街貴陽街交叉口,26.39,住,,,1130812,土地1建物1車位0,二層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,80.3,2,2,2,有,無,7760000,96638,,0.0,0,,RPQNMLTKQHJGFAT47CB,喜?京站,H棟2F號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市廣東路456巷,44.22,住,,,1130819,土地3建物1車位1,五層,5,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,112.85,3,2,2,有,無,10350000,98482,一樓平面,19.94,1200000,,RPPNMLKLQHJGFAT56CB,馥裕家,5A5棟0號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口D3棟,73.06,住,,,1130811,土地1建物1車位2,全,2,透天厝,住家用,鋼筋混凝土造,,271.21,0,0,0,無,無,26740000,95550,坡道平面,33.22,4000000,,RPRNMLKLQHJGFAT76CB,甲山林花園帝寶,D棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市瑞中街瑞華街口J11棟4樓,26.49,住,,,1130814,土地1建物1車位1,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,100.11,2,2,1,有,無,11530000,108144,坡道平面,16.61,2500000,,RPSNMLKLQHJGFAT86CB,甲山林花園帝寶,J棟11號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉延平路,23.5,,工業區,丁種建築用地,1130812,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,126.95,2,2,2,有,無,9060000,71367,坡道平面,0.0,1400000,,RPQNMLLLQHJGFCT96CB,福樂家,B棟2號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉延平路,20.46,,工業區,丁種建築用地,1130812,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,113.16,2,2,2,有,無,7950000,70255,坡道平面,0.0,1400000,,RPRNMLLLQHJGFCT07CB,福樂家,B棟3號,
屏東市,房地(土地+建物)+車位,屏東縣屏東市古松巷,21.79,,鄉村區,乙種建築用地,1130819,土地1建物1車位1,五層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,96.01,3,2,2,有,無,8380000,86069,坡道平面,13.75,1300000,,RPPNMLMLQHJGFAT76CB,屏東印象,B2棟5樓號,
內埔鄉,房地(土地+建物)+車位,屏東縣內埔鄉延平路,30.29,,工業區,丁種建築用地,1130815,土地1建物1車位1,八層,8,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,,158.0,2,2,2,有,無,10650000,67405,一樓平面,0.0,1100000,,RPPNMLMLQHJGFCT96CB,福樂家,A棟5號,
恆春鎮,房地(土地+建物),屏東縣恆春鎮德和里?林北路120巷,198.74,,一般農業區,甲種建築用地,1130812,土地3建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,,218.86,4,2,5,有,無,18500000,84529,,0.0,0,,RPPNMLPLQHJGFET47CB,享樂田園,A2棟A2號,
潮州鎮,房地(土地+建物),屏東縣潮州鎮朝昇西路,16.63,住,,,1130819,土地3建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,83.1,1,1,2,有,無,6880000,82792,,0.0,0,,RPPNMLRLQHJGFCT47CB,欣潮-欣品樓,A3棟03號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇西路,16.63,住,,,1130815,土地3建物1車位1,五層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,106.23,1,1,2,有,無,8170000,84236,坡道平面,23.13,1170000,,RPQNMLRLQHJGFCT57CB,欣潮-欣品樓,A3棟05號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇西路,16.63,住,,,1130812,土地3建物1車位1,七層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,106.23,1,1,2,有,無,8300000,85800,坡道平面,23.13,1170000,,RPRNMLRLQHJGFCT67CB,欣潮-欣品樓,A3棟07號,
潮州鎮,房地(土地+建物)+車位,屏東縣潮州鎮朝昇西路,22.69,住,,,1130817,土地3建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住商用,鋼筋混凝土造,,136.36,2,1,2,有,無,10860000,84783,坡道平面,23.13,1260000,,RPSNMLRLQHJGFCT77CB,欣潮-欣品樓,A5棟09號,
