鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
屏東市,租賃房屋,屏東縣屏東市公裕街３５３巷３８之１號２樓,0.0,,,,1130731,土地0建物1車位0,二層,4,華廈(10層含以下有電梯),辦公室,鋼筋混凝土造,0970305,14.61,1,0,1,有,有,無,3600,246,,0.0,0,續租案件；,RPPNMLMKQHJGFAT76CC,獨立套房,有,1130823~1140222,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
萬丹鄉,租賃房屋,屏東縣萬丹鄉金龍街８５號,0.0,,,,1130809,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0810731,217.56,5,2,4,有,無,有,11000,51,,0.0,0,,RPQNMLMKQHJGFAT86CC,整棟(戶)出租,無,1130814~1140813,無,熱水器,社會住宅包租轉租
內埔鄉,租賃房屋,屏東縣內埔鄉南山路８８號５樓之３８,0.0,,,,1130731,土地0建物1車位0,五層,6,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,0930712,20.3,1,0,1,有,有,無,3200,158,,0.0,0,續租案件；,RPPNMLMKQHJGFCT96CC,獨立套房,有,1130901~1140228,有,冷氣、熱水器、電視機、冰箱、網路,一般代管
屏東市,租賃房屋,屏東縣屏東市濟南街１之１７號,0.0,,,,1130807,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700420,209.45999999999998,3,1,2,有,無,有,9000,43,,0.0,0,此為屏東縣政府包租代管計畫。,RPQNMLNKQHJGFAT96CC,整棟(戶)出租,無,1130810~1140809,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
屏東市,租賃房屋,屏東縣屏東市林森路１巷１２１之８號,0.0,,,,1130806,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830207,124.53,3,2,2,有,有,有,16000,128,,0.0,0,,RPSNMLNKQHJGFAT17CC,整棟(戶)出租,有,1130820~1140819,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
屏東市,租賃房屋,屏東縣屏東市民生東路５６巷２４弄１１號,0.0,,,,1130807,土地0建物0車位0,全,3,透天厝,住家用,鋼筋混凝土造,0740528,24.8,6,1,6,有,無,有,5500,222,,0.0,0,租金總額含網路費；含增建或未登記建物；,RPTNMLNKQHJGFAT27CC,分租套房,無,1130810~1140809,無,冷氣、熱水器、電視機、冰箱、網路,
屏東市,租賃房屋,屏東縣屏東市自由路６０３號,0.0,,,,1130718,土地0建物1車位0,一層,1,店面(店鋪),商業用,鋼造,0810106,127.92,0,0,0,無,無,無,80000,625,,0.0,0,租金總額含稅；租賃期間有約定不同租金113年9月18日~114年9月17日-租金：8萬114年9月18日~118年9月17日-租金：8.5萬；外牆作為廣告使用；,RPVNMLNKQHJGFAT47CC,,無,1130918~1180917,無,,
內埔鄉,租賃房屋,屏東縣內埔鄉四維路４１-５號３樓之６,0.0,,,,1130813,土地0建物1車位0,三層,5,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,1120928,97.33,2,1,1,有,無,有,15500,159,,0.0,0,,RPPNMLNKQHJGFCT07CC,整棟(戶)出租,無,1130813~1140812,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
內埔鄉,租賃房屋,屏東縣內埔鄉建興路６２巷３號,0.0,,,,1130806,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0830418,141.96,4,2,3,有,無,無,13500,95,,0.0,0,,RPQNMLNKQHJGFCT17CC,整棟(戶)出租,無,1130810~1140809,無,熱水器、瓦斯或天然氣,社會住宅包租轉租
