編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLMKQHJGFAT86CC,32,217.56,住商用,鋼筋混凝土造,81年7月31日,四層,,
RPPNMLMKQHJGFAT76CC,16,9.78,辦公室,鋼筋混凝土造,97年3月5日,四層,,
RPPNMLMKQHJGFCT96CC,20,11.92,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLMKQHJGFAT76CC,16,4.83,辦公室、機電空間、梯廳,鋼筋混凝土造,97年3月5日,四層,,
RPTNMLNKQHJGFAT27CC,39,24.80,住家用,鋼筋混凝土造,74年5月28日,三層,,
RPPNMLMKQHJGFCT96CC,20,6.15,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPPNMLMKQHJGFCT96CC,20,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLNKQHJGFAT17CC,30,101.79,住家用,鋼筋混凝土造,83年2月7日,十五層,,
RPPNMLMKQHJGFCT96CC,20,1.11,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPSNMLNKQHJGFAT17CC,30,22.74,守衛室，梯間，停車空間,鋼筋混凝土造,83年2月7日,十五層,,
RPVNMLNKQHJGFAT47CC,33,127.92,商業用,鋼造,81年1月6日,一層,,
RPQNMLNKQHJGFAT96CC,43,77.30,住家用,鋼筋混凝土造,70年4月20日,五層,,
RPQNMLNKQHJGFAT96CC,,132.16,樓梯間，地下室,鋼筋混凝土造,,五層,,
RPPNMLNKQHJGFCT07CC,1,67.53,集合住宅,鋼筋混凝土造,112年9月28日,五層,,
RPPNMLNKQHJGFCT07CC,1,29.80,本共有部分之項目有樓梯間、停車空間及機械室等三項,鋼筋混凝土造,112年9月28日,五層,,
RPQNMLOKQHJGFAT07CC,1,60.67,集合住宅,鋼筋混凝土造,112年10月24日,五層,,
RPQNMLOKQHJGFAT07CC,1,25.01,停車空間、電信室、樓梯間、電梯機房,鋼筋混凝土造,112年10月24日,五層,,
RPQNMLNKQHJGFCT17CC,30,141.96,住家用,鋼筋混凝土造,83年4月18日,三層,,
RPPNMLPKQHJGFAT07CC,1,65.37,集合住宅,鋼筋混凝土造,112年8月3日,五層,,
RPPNMLPKQHJGFAT07CC,1,33.73,共同梯間、停車空間、機械室、樓梯間、水箱,鋼筋混凝土造,112年8月3日,五層,,
RPPNMLQKQHJGFCT37CC,21,20.55,見使用執照,鋼筋混凝土造,92年5月1日,五層,,
RPQNMLPKQHJGFAT17CC,41,73.04,住家用,鋼筋混凝土造,72年3月5日,五層,,
RPPNMLQKQHJGFCT37CC,21,7.71,共同部份,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLQKQHJGFCT57CC,20,12.22,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPQNMLPKQHJGFAT17CC,41,4.53,防空避難室,鋼筋混凝土造,72年5月16日,,,
RPPNMLQKQHJGFCT37CC,21,1.76,停車空間,鋼筋混凝土造,92年5月1日,五層,,
RPRNMLQKQHJGFCT57CC,20,5.80,見使用執照,鋼筋混凝土造,93年7月12日,六層,,
RPQNMLPKQHJGFAT17CC,41,8.16,公共設施，樓梯，通道，突出物,鋼筋混凝土造,72年3月15日,,,
RPRNMLQKQHJGFCT57CC,20,1.12,停車空間、機械室,鋼筋混凝土造,93年7月12日,六層,,
RPRNMLQKQHJGFAT37CC,44,131.34,住家用,加強磚造,69年8月4日,二層,,
RPRNMLOKQHJGFAT17CC,20,114.28,集合住宅,鋼筋混凝土造,93年9月9日,十四層,,
RPRNMLOKQHJGFAT17CC,20,66.73,防空避難室、停車空間、活動中心、管理中心、警衛室、門廳、通廊,鋼筋混凝土造,93年9月9日,十四層,,
RPPNMLQKQHJGFAT17CC,31,86.23,住家用,鋼筋混凝土造,82年3月8日,七層,,
RPPNMLQKQHJGFAT17CC,31,28.84,共同部份,鋼筋混凝土造,82年3月8日,七層,,
RPQNMLTKQHJGFAT57CC,16,9.19,辦公室,鋼筋混凝土造,97年3月5日,四層,,
RPQNMLTKQHJGFAT57CC,16,32.86,停車空間,鋼筋混凝土造,97年3月5日,四層,,
RPQNMLTKQHJGFAT57CC,16,3.13,機械室,鋼筋混凝土造,97年3月5日,四層,,
RPQNMLTKQHJGFAT57CC,16,5.39,機械室,鋼筋混凝土造,97年3月5日,四層,,
RPQNMLTKQHJGFAT57CC,16,3.13,機械室,鋼筋混凝土造,97年3月5日,四層,,
RPQNMLTKQHJGFAT57CC,16,5.39,機械室,鋼筋混凝土造,97年3月5日,四層,,
