鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
花蓮市,房地(土地+建物),花蓮縣花蓮市中山路５３５巷１弄１１號,73.0,住,,,1130902,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0660906,92.74,3,2,2,有,無,6500000,70088,,0.0,0,,RPTNMLOJRHJGFAU37DA,92.74,0.0,0.0,無,
玉里鎮,土地,舊田段932-2地號,47.67,,鄉村區,乙種建築用地,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,64890,1361,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLKKRHJGFCU86DA,0.0,0.0,0.0,無,
吉安鄉,房地(土地+建物),花蓮縣吉安鄉廣賢路一段３４９巷７號四樓之一,24.29,,特定農業區,甲種建築用地,1130903,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130207,89.74000000000001,2,2,2,有,有,6788000,75641,,0.0,0,,RPVOMLQJRHJGFAU87DA,54.16,0.0,5.43,有,
壽豐鄉,土地,榮光段46-11地號,40000.0,農,,,1130901,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2400000,60,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSOMLKKRHJGFAU07DA,0.0,0.0,0.0,無,
鳳林鎮,土地,北林段1191地號,1756.95,,特定農業區,農牧用地,1130901,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,1423,,0.0,0,,RPPNMLTJRHJGFBU67EA,0.0,0.0,0.0,無,
新城鄉,土地,山廣段853-1地號,1200.98,,一般農業區,林業用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4510000,3755,,0.0,0,,RPROMLTJRHJGFAU77DA,0.0,0.0,0.0,無,
玉里鎮,土地,玉東段406-1地號,2.62,農,,,1130906,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,30000,11450,,0.0,0,,RPQNMLKKRHJGFCU96DA,0.0,0.0,0.0,無,
萬榮鄉,土地,支亞干段744地號,1264.84,,一般農業區,農牧用地,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,200000,158,,0.0,0,,RPPNMLQKRHJGFBU47EA,0.0,0.0,0.0,無,
新城鄉,房地(土地+建物),花蓮縣新城鄉安樂街５巷２號,98.0,,鄉村區,乙種建築用地,1130916,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,0700202,101.91,3,2,2,有,無,3800000,37288,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPPNMLTKRHJGFAU67EA,101.91,0.0,0.0,無,
