編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPTNMLOJRHJGFAU37DA,47,92.74,住家用,鋼筋混凝土加強磚造,66年9月6日,二層,一層 二層,全筆移轉
RPVOMLQJRHJGFAU87DA,1,59.59,供特定人長期住宿之場所（集合住宅）,鋼筋混凝土造,113年2月7日,七層,四層 陽台,全筆移轉
RPVOMLQJRHJGFAU87DA,1,30.15,共有部份,鋼筋混凝土造,113年2月7日,七層,,持分移轉
RPPNMLTKRHJGFAU67EA,44,101.91,住家用,鋼筋混凝土加強磚造,70年2月2日,二層,一層 二層,全筆移轉
RPSNMLKMQHJGFAU07DA,29,24.79,住家用,鋼筋混凝土造,84年8月19日,十一層,八層 陽台,全筆移轉
RPSNMLKMQHJGFAU07DA,29,8.31,共有部份,鋼筋混凝土造,84年8月19日,十一層,,持分移轉
RPWOMLNJRHJGFAU67DA,5,34.09,集合住宅,鋼筋混凝土造,109年1月2日,七層,五層 陽台,全筆移轉
RPWOMLNJRHJGFAU67DA,5,5.40,共有部份（停車空間）,鋼筋混凝土造,109年1月2日,七層,,持分移轉
RPTQMLNJRHJGFAU57DA,31,96.73,住家用,鋼筋混凝土造,82年11月9日,六層,四層 陽台 花台,全筆移轉
RPWOMLNJRHJGFAU67DA,5,17.29,本共有部分之項目有防空避難室、台電受電室、電信室、消防機房、電梯、安全梯、梯廳、梯間、樓梯間等９項,鋼筋混凝土造,109年1月2日,七層,,持分移轉
RPTQMLNJRHJGFAU57DA,31,34.57,共有部份,鋼筋混凝土造,82年11月9日,六層,,持分移轉
RPSOMLTJRHJGFAU87DA,3,66.74,集合住宅,鋼筋混凝土造,110年11月5日,十一層,六層 陽台,全筆移轉
RPSNMLTJRHJGFAU77DA,2,285.22,住家用,鋼筋混凝土造,111年8月24日,五層,一層 二層 三層 四層 五層 陽台 屋頂突出物,全筆移轉
RPSOMLTJRHJGFAU87DA,3,28.69,共有部份,鋼筋混凝土造,110年11月5日,十一層,,持分移轉
RPXNMLTJRHJGFAU28DA,30,19.85,住家用,鋼筋混凝土造,83年11月15日,十二層,六層,全筆移轉
