編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPTNMLOJRHJGFAU37DA,林森段,73.00,都市：住,1,1,全筆移轉,14960000
RPPNMLTJRHJGFBU67EA,北林段,1756.95,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,11910000
RPPNMLQKRHJGFBU47EA,支亞干段,1264.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07440000
RPVOMLQJRHJGFAU87DA,仁愛段,24.29,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,936,持分移轉,00280000
RPROMLQLQHJGFAU57DA,光輝段,345.34,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04060009
RPSOMLKKRHJGFAU07DA,榮光段,20000.00,都市：農,1,1,全筆移轉,00460011
RPSOMLKKRHJGFAU07DA,榮光段,20000.00,都市：其他:農業區,1,1,全筆移轉,00460012
RPPNMLTKRHJGFAU67EA,嘉北段,98.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,01190000
RPPNMLKKRHJGFCU86DA,舊田段,47.67,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,09320002
RPQNMLKKRHJGFCU96DA,玉東段,1.38,都市：其他:農業區,4,1,持分移轉,04060001
RPQNMLKKRHJGFCU96DA,玉東段,1.24,都市：其他:農業區,4,1,持分移轉,04090000
RPROMLTJRHJGFAU77DA,山廣段,1200.98,非都市：一般農業區 ; 非都市編定：林業用地,1,1,全筆移轉,08530001
RPSNMLKMQHJGFAU07DA,自強段,5.63,都市：住,10000,34,持分移轉,00140000
RPQOMLRLQHJGFAU57DA,南坑段,96671.00,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,00250000
RPWOMLNJRHJGFAU67DA,主商段,9.30,都市：商,37,1,持分移轉,11500000
RPTQMLNJRHJGFAU57DA,宜安段,13.94,都市：住,10000,457,持分移轉,04590000
RPTQMLNJRHJGFAU57DA,宜安段,13.66,都市：住,10000,457,持分移轉,04630000
RPTQMLNJRHJGFAU57DA,宜安段,1.28,都市：住,10000,457,持分移轉,04650000
RPSOMLTJRHJGFAU87DA,裕民段,13.07,都市：商,10000,132,持分移轉,02130000
RPSNMLTJRHJGFAU77DA,慈惠段,27.41,都市：住,15,1,持分移轉,05440000
RPSNMLTJRHJGFAU77DA,慈惠段,78.19,都市：住,1,1,全筆移轉,05440014
RPPNMLKKRHJGFAU66DA,豐裡段,4.51,非都市：鄉村區 ; 非都市編定：乙種建築用地,300,5,持分移轉,04920002
RPPNMLKKRHJGFAU66DA,豐裡段,377.96,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,04920004
RPQNMLTJRHJGFBU77EA,悅付南段,821.24,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,07630000
RPXNMLTJRHJGFAU28DA,富國段,2.84,都市：商,10000,17,持分移轉,03090000
RPTOMLTJRHJGFAU97DA,草芬段,512.30,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03300000
RPTOMLTJRHJGFAU97DA,草芬段,512.30,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03300002
RPTOMLTJRHJGFAU97DA,草芬段,1613.09,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,03300003
RPUNMLQJRHJGFAU67DA,民生段民生小段,14.36,都市：商,100000,1436,持分移轉,00660000
RPOPMLPJQHJGFAU07DA,福祥段,53.00,都市：住,1,1,全筆移轉,01710003
RPXOMLTJRHJGFAU38DA,宜安段,12.98,都市：住,48300,1298,持分移轉,00470000
RPOPMLPJQHJGFAU07DA,福祥段,30.00,都市：住,1,1,全筆移轉,01720002
RPOOMLLKRHJGFAU76DA,吉興段,106.61,都市：住,1,1,全筆移轉,00930000
RPRPMLKKRHJGFAU07DA,光學段,808.61,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04840000
RPPOMLKKRHJGFAU76DA,慈勝段,1886.45,都市：農,1,1,全筆移轉,09620000
RPRPMLKKRHJGFAU07DA,光學段,831.28,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04850000
RPPNMLMKRHJGFCU07DA,屋拉力段,2178.46,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05090000
RPPNMLMKRHJGFCU07DA,屋拉力段,1023.18,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,05130000
RPRNMLLKRHJGFAU96DA,德布克段,575.47,都市：農,1,1,全筆移轉,04680000
RPQNMLMKRHJGFAU96DA,大漢段,93.71,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03510000
RPWNMLLKRHJGFAU47DA,民德段,35.00,都市：其他:市場用地,1,1,全筆移轉,03520000
RPSNMLMKRHJGFAU17DA,主商段,25.76,都市：商,1000,115,持分移轉,08940000
RPVNMLMKRHJGFAU47DA,南埔段,77.00,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,26640007
RPSNMLMKRHJGFAU17DA,主商段,2.53,都市：其他:道路用地,1000,115,持分移轉,08940011
RPPNMLLKRHJGFCU96DA,源北段,343.22,非都市：山坡地保育區 ; 非都市編定：丙種建築用地,1,1,全筆移轉,05350000
RPPNMLKMQHJGFCU96DA,玉城段,24.80,都市：其他:住宅區,5,1,持分移轉,10270000
RPPNMLKMQHJGFCU96DA,玉城段,17.67,都市：其他:住宅區,6,1,持分移轉,11380000
RPPNMLKMQHJGFCU96DA,玉城段,11.40,都市：其他:道路用地,5,1,持分移轉,11510000
RPPNMLKMQHJGFCU96DA,玉城段,52.80,都市：其他:住宅區,5,1,持分移轉,11710000
RPWNMLMKRHJGFAU57DA,福興段,92.00,都市：商,1,1,全筆移轉,06300000
RPPNMLKMQHJGFCU96DA,玉城段,1.80,都市：其他:住宅區,5,1,持分移轉,11760000
RPOOMLKKRHJGFAU66DA,光榮段,375.84,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,08690000
RPUNMLKLQHJGFAU17DA,富國段,10.35,都市：住,10000,114,持分移轉,01380000
RPQNMLNKRHJGFCU37EA,玉里段,951.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,1,持分移轉,32290000
RPVPMLTLQHJGFAU38DA,佳東段,605.98,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01000000
RPWOMLQJRHJGFAU97DA,自強段,45.52,都市：住,100000,301,持分移轉,01940000
RPUNMLNKRHJGFAU47DA,永興段,34.59,非都市：特定農業區 ; 非都市編定：甲種建築用地,10000,245,持分移轉,04610000
RPXOMLQJRHJGFAU08DA,裕民段,3.14,都市：商,1000,12,持分移轉,04650002
RPPNMLQKRHJGFAU27DA,富國段,3.17,都市：商,10000,19,持分移轉,03090000
RPPNMLKKRHJGFBU76DA,鳳光段,93.00,都市：其他:住宅區,1,1,全筆移轉,05220006
RPRNMLKKRHJGFCU07DA,玉里段,1783.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,30850000
RPPNMLRKRHJGFCU57DA,埔頭段,156.28,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12330000
RPPNMLNKRHJGFCU17DA,玉璞段,88.00,都市：其他:住宅區,1,1,全筆移轉,18700006
RPQPMLKMQHJGFAU07DA,仁廉段,2.67,都市：住,100000,2751,持分移轉,04300000
RPQPMLKMQHJGFAU07DA,仁廉段,1.38,都市：住,100000,2751,持分移轉,04300001
RPQPMLKMQHJGFAU07DA,仁廉段,.41,都市：住,100000,2751,持分移轉,04300002
RPQPMLKMQHJGFAU07DA,仁廉段,24.29,都市：住,100000,2751,持分移轉,04480000
RPQNMLQKRHJGFAU37DA,白雲段,84.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,02760000
RPOOMLQKRHJGFAU27DA,福興段,91.00,都市：商,1,1,全筆移轉,08800021
RPRNMLQKRHJGFAU47DA,慈安段,168.00,都市：住,1,1,全筆移轉,02410000
RPOOMLQKRHJGFAU27DA,福興段,19.27,都市：商,11,1,持分移轉,08800026
RPOOMLQKRHJGFAU27DA,福興段,8.91,都市：商,11,1,持分移轉,08800029
RPOOMLQKRHJGFAU27DA,福興段,12.64,都市：住,11,1,持分移轉,08830018
RPPPMLSKRHJGFAU67DA,德安段,108.00,都市：住,1,1,全筆移轉,08620000
RPPNMLRKRHJGFAU37DA,加灣段,130.02,非都市：一般農業區 ; 非都市編定：農牧用地,6,1,持分移轉,07440000
RPPNMLQKRHJGFBU37DA,大平段,2569.00,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,00640000
RPSQMLNJRHJGFAU47DA,仁恥段,32.00,都市：住,996,32,持分移轉,02610000
RPRQMLNJRHJGFAU37DA,仁恥段,41.00,都市：住,996,41,持分移轉,02610000
RPTNMLTJRHJGFAU87DA,光學段,45.15,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06970000
RPTNMLTJRHJGFAU87DA,光學段,45.75,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,06980000
RPUNMLTJRHJGFAU97DA,福祥段,39.67,都市：住,3,1,持分移轉,10100001
RPUNMLTJRHJGFAU97DA,福祥段,70.33,都市：住,3,1,持分移轉,10100002
RPXOMLRJQHJGFAU08DA,太昌段,3145.00,都市：農,1,1,全筆移轉,21770000
RPUOMLTJRHJGFAU08DA,民勤段,75.50,都市：住,2,1,持分移轉,04540007
RPUOMLTJRHJGFAU08DA,民勤段,14.50,都市：住,2,1,持分移轉,04540013
RPSNMLKKRHJGFAU96DA,宜昌段,22.00,都市：商,1,1,全筆移轉,05490000
RPSNMLKKRHJGFAU96DA,宜昌段,13.00,都市：其他:道路用地,1,1,全筆移轉,05510000
RPSOMLTJQHJGFAU77DA,福興段,87.00,都市：住,1,1,全筆移轉,08940006
RPVOMLTJRHJGFAU18DA,福祥段,77.00,都市：住,1,1,全筆移轉,05670001
RPQOMLKKRHJGFAU86DA,東昌段,74.91,都市：農,6,1,持分移轉,07530004
RPQOMLKKRHJGFAU86DA,東昌段,285.36,都市：農,1,1,全筆移轉,07530007
RPQOMLKKRHJGFAU86DA,東昌段,333.05,都市：農,1,1,全筆移轉,07530008
RPQPMLNJRHJGFAU17DA,仁廉段,117.00,都市：住,1,1,全筆移轉,00860000
RPWOMLTJRHJGFAU28DA,富國段,8.51,都市：住,10000,60,持分移轉,01570000
RPWOMLKMPHJGFAU47DA,慈惠段,21.99,都市：住,100000,5410,持分移轉,03590000
RPUNMLLKRHJGFAU27DA,莊敬段,189.00,都市：住,1,1,全筆移轉,02150004
RPXOMLKKRHJGFAU57DA,福安段,51.00,都市：住,1,1,全筆移轉,13410000
RPOPMLKMPHJGFAU76DA,慈惠段,21.99,都市：住,100000,5410,持分移轉,03590000
RPVNMLLKRHJGFAU37DA,慶豐段,248.00,都市：農,1,1,全筆移轉,16310001
RPVNMLLKRHJGFAU37DA,慶豐段,174.00,都市：農,1,1,全筆移轉,16310002
RPVNMLLKRHJGFAU37DA,慶豐段,74.00,都市：農,1,1,全筆移轉,16310003
RPXNMLMKRHJGFAU67DA,嘉北段,433.00,都市：農,1,1,全筆移轉,02460010
RPXNMLMKRHJGFAU67DA,嘉北段,141.00,都市：其他:農業區,1,1,全筆移轉,02530000
RPTOMLKMPHJGFAU17DA,慈惠段,21.99,都市：住,100000,5410,持分移轉,03590000
RPOOMLMKRHJGFAU86DA,福祥段,10.10,都市：住,28710,101,持分移轉,09970000
RPPNMLKKRHJGFBU86EA,丁仔漏段,85.41,非都市：風景區 ; 非都市編定：農牧用地,3,1,持分移轉,10710000
RPPPMLTJRHJGFAU67DA,福興段,113.00,都市：農,1,1,全筆移轉,02800001
RPSNMLSJQHJGFAU57DA,光明段,969.32,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05160000
RPUNMLQKRHJGFAU77DA,福興段,37.00,都市：其他:道路用地,1,1,全筆移轉,07570000
RPUNMLQKRHJGFAU77DA,福興段,42.00,都市：住,1,1,全筆移轉,07580000
RPUNMLQKRHJGFAU77DA,福興段,84.00,都市：其他:道路用地,1,1,全筆移轉,07580001
RPPOMLLKRHJGFAU86DA,忠孝段,533.52,都市：農,1,1,全筆移轉,09140003
RPPOMLLKRHJGFAU86DA,忠孝段,533.45,都市：農,1,1,全筆移轉,09140004
RPPOMLLKRHJGFAU86DA,忠孝段,533.41,都市：農,1,1,全筆移轉,09140005
RPVNMLQKRHJGFAU87DA,壽農段,82.06,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,14550000
RPTNMLSKRHJGFAU87DA,主商段,156.00,都市：商,1,1,全筆移轉,10980000
RPVOMLSKRHJGFAU18DA,興海段,210.30,都市：住,1,1,全筆移轉,08420000
RPTNMLSKRHJGFAU87DA,主商段,6.00,都市：其他:道路用地,1,1,全筆移轉,10980001
RPVOMLSKRHJGFAU18DA,興海段,352.53,都市：其他:道路用地,1,1,全筆移轉,08430000
RPVOMLSKRHJGFAU18DA,興海段,2146.38,都市：住,1,1,全筆移轉,08440000
RPTOMLSKRHJGFAU97DA,仁廉段,2.39,都市：住,100000,2463,持分移轉,04300000
RPTOMLSKRHJGFAU97DA,仁廉段,1.23,都市：住,100000,2463,持分移轉,04300001
RPTOMLSKRHJGFAU97DA,仁廉段,.37,都市：住,100000,2463,持分移轉,04300002
RPXOMLSKRHJGFAU38DA,太昌段,93.00,都市：住,1,1,全筆移轉,07840021
RPTOMLSKRHJGFAU97DA,仁廉段,21.75,都市：住,100000,2463,持分移轉,04480000
RPSOMLSKRHJGFAU87DA,富國段,18.60,都市：商,1000,27,持分移轉,03100000
RPQNMLQKRHJGFCU57DA,瑞泉段,978.85,都市：其他:體育場用地,1,1,全筆移轉,01770000
RPTPMLSKRHJGFAU08DA,精鐘段,4210.99,非都市：山坡地保育區 ; 非都市編定：農牧用地,1,1,全筆移轉,07450000
RPVNMLKKRHJGFAU27DA,主權段,60.00,都市：住,1,1,全筆移轉,00960000
RPTNMLKKRHJGFAU07DA,仁愛段,50.30,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,06420000
RPPNMLNKRHJGFBU17EA,綜開段,6071.56,非都市：一般農業區 ; 非都市編定：農牧用地,1000000,973537,持分移轉,03710036
RPTNMLKKRHJGFAU07DA,仁愛段,28.45,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,06420002
RPPNMLNKRHJGFBU17EA,綜開段,2670.49,非都市：一般農業區 ; 非都市編定：農牧用地,200000,155369,持分移轉,03870006
RPTNMLKKRHJGFAU07DA,仁愛段,72.11,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,06420003
RPOPMLKKRHJGFAU76DA,佳東段,2113.76,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02420000
RPOPMLKKRHJGFAU76DA,佳東段,128.29,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02430000
RPOPMLKKRHJGFAU76DA,佳東段,7.37,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04960000
RPOPMLKKRHJGFAU76DA,佳東段,28.72,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05040000
RPUNMLSLQHJGFAU97DA,嘉北段,93.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,03120000
RPPNMLNKRHJGFCU27EA,玉里段,2853.00,非都市：特定農業區 ; 非都市編定：農牧用地,4,3,持分移轉,32290000
RPRNMLSKRHJGFAU67DA,福祥段,134.00,都市：住,1,1,全筆移轉,09500000
RPUNMLNJPHJGFAU17DA,上崇德段,73.30,都市：住,8,1,持分移轉,08100000
RPUNMLNJPHJGFAU17DA,上崇德段,2.17,都市：其他:道路用地,8,1,持分移轉,08100001
RPUNMLNJPHJGFAU17DA,上崇德段,12.34,都市：其他:道路用地,8,1,持分移轉,08750000
RPPNMLSKRHJGFAU57EA,福興段,91.00,都市：住,1,1,全筆移轉,06550049
RPTNMLLKRHJGFAU17DA,興田段,1663.64,都市：農,1,1,全筆移轉,11680000
RPPNMLQLQHJGFAU27DA,吉興段,989.79,都市：農,1,1,全筆移轉,07490000
RPQOMLNJRHJGFAU07DA,仁廉段,59.00,都市：其他:道路用地,1,1,全筆移轉,03780000
RPQOMLNJRHJGFAU07DA,仁廉段,1.00,都市：其他:道路用地,1,1,全筆移轉,03780002
RPVNMLSKRHJGFAU08DA,仁恥段,41.00,都市：住,996,41,持分移轉,02610000
RPTNMLMKRHJGFAU27DA,南埔段,61.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,24380068
RPTNMLMKRHJGFAU27DA,南埔段,5.00,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,24380073
RPTPMLKMQHJGFAU37DA,嘉南段,66.00,都市：住,1,1,全筆移轉,04940000
RPQNMLOJRHJGFAU07DA,仁禮段,242.00,都市：住,1,1,全筆移轉,02200000
RPQOMLTJRHJGFAU67DA,裕民段,28.39,都市：住,20000,1710,持分移轉,00310001
RPXNMLSKRHJGFAU28DA,仁恥段,40.00,都市：住,996,40,持分移轉,02610000
RPQPMLKKRHJGFAU96DA,裕民段,28.39,都市：住,10000,855,持分移轉,00310001
RPSOMLQJRHJGFAU57DA,裕民段,26.73,都市：住,10000,805,持分移轉,00310001
RPWNMLKKRHJGFAU37DA,裕民段,26.73,都市：住,10000,805,持分移轉,00310001
RPXNMLKKRHJGFAU47DA,裕民段,26.73,都市：住,10000,805,持分移轉,00310001
RPOOMLTJRHJGFAU47DA,裕民段,26.73,都市：住,20000,1610,持分移轉,00310001
RPROMLQJRHJGFAU47DA,裕民段,29.71,都市：住,10000,895,持分移轉,00310001
RPROMLKKRHJGFAU96DA,裕民段,28.39,都市：住,10000,855,持分移轉,00310001
RPQOMLLKRHJGFAU96DA,裕民段,28.39,都市：住,10000,855,持分移轉,00310001
RPWOMLKKRHJGFAU47DA,裕民段,26.73,都市：住,10000,805,持分移轉,00310001
RPVOMLKKRHJGFAU37DA,裕民段,28.39,都市：住,10000,855,持分移轉,00310001
RPWNMLSKRHJGFAU18DA,仁恥段,32.00,都市：住,996,32,持分移轉,02610000
RPUNMLSKRHJGFAU97DA,仁恥段,38.00,都市：住,996,38,持分移轉,02610000
RPOOMLSKRHJGFAU47DA,仁恥段,42.00,都市：住,996,42,持分移轉,02610000
RPVQMLNJRHJGFAU77DA,仁恥段,40.00,都市：住,996,40,持分移轉,02610000
RPQNMLNKRHJGFAU07DA,宜昌段,28.87,都市：住,100000,1860,持分移轉,02750000
RPRNMLNKRHJGFAU17DA,宜昌段,28.87,都市：住,100000,1860,持分移轉,02750000
RPQNMLNKRHJGFAU07DA,宜昌段,.06,都市：住,100000,1860,持分移轉,02760000
RPRNMLNKRHJGFAU17DA,宜昌段,.06,都市：住,100000,1860,持分移轉,02760000
RPQNMLNKRHJGFAU07DA,宜昌段,2.46,都市：住,100000,1860,持分移轉,02820001
RPRNMLNKRHJGFAU17DA,宜昌段,2.46,都市：住,100000,1860,持分移轉,02820001
RPTNMLNKRHJGFAU37DA,宜昌段,28.87,都市：住,100000,1860,持分移轉,02750000
RPTNMLNKRHJGFAU37DA,宜昌段,.06,都市：住,100000,1860,持分移轉,02760000
RPPNMLNKRHJGFAU96DA,宜昌段,28.87,都市：住,100000,1860,持分移轉,02750000
RPTNMLNKRHJGFAU37DA,宜昌段,2.46,都市：住,100000,1860,持分移轉,02820001
RPPNMLNKRHJGFAU96DA,宜昌段,.06,都市：住,100000,1860,持分移轉,02760000
RPPNMLNKRHJGFAU96DA,宜昌段,2.46,都市：住,100000,1860,持分移轉,02820001
RPSNMLNKRHJGFAU27DA,宜昌段,28.81,都市：住,100000,1856,持分移轉,02750000
RPSNMLNKRHJGFAU27DA,宜昌段,.06,都市：住,100000,1856,持分移轉,02760000
RPSNMLNKRHJGFAU27DA,宜昌段,2.45,都市：住,100000,1856,持分移轉,02820001
