編號,車位類別,車位價格,車位面積平方公尺,車位所在樓層
Serial number,berth category,berth price,berth area square meter,
RPUNMLQJRHJGFAU67DA,坡道平面,0,,地下二樓
RPQPMLKMQHJGFAU07DA,一樓平面,0,21.71,一樓
RPRQMLNJRHJGFAU37DA,一樓平面,800000,20.57,一樓
RPTOMLKMPHJGFAU17DA,一樓平面,1500000,13.75,一樓
RPTOMLSKRHJGFAU97DA,一樓平面,0,21.72,一樓
RPVNMLSKRHJGFAU08DA,坡道平面,800000,20.57,地下一樓
RPXNMLSKRHJGFAU28DA,坡道平面,800000,20.57,地下一樓
RPROMLKKRHJGFAU96DA,一樓平面,1400000,31.02,一樓
RPQOMLLKRHJGFAU96DA,升降機械,800000,31.02,一樓
RPVOMLKKRHJGFAU37DA,升降機械,800000,31.02,一樓
RPWOMLKKRHJGFAU47DA,升降機械,800000,31.02,一樓
RPWNMLSKRHJGFAU18DA,坡道平面,700000,20.57,地下一樓
RPUNMLSKRHJGFAU97DA,坡道平面,700000,20.57,地下一樓
RPOOMLSKRHJGFAU47DA,一樓平面,0,20.57,一樓
RPVQMLNJRHJGFAU77DA,坡道平面,800000,20.57,地下一樓
RPQNMLNKRHJGFAU07DA,坡道平面,1100000,24.02,地下二樓
RPRNMLNKRHJGFAU17DA,坡道平面,1100000,24.02,地下二樓
RPTNMLNKRHJGFAU37DA,坡道平面,1100000,24.01,地下一樓
RPSNMLNKRHJGFAU27DA,坡道平面,1100000,22.89,地下二樓
