鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
花蓮市,租賃房屋,花蓮縣花蓮市富裕八街２３號,0.0,,,,1130719,土地0建物1車位0,全,1,透天厝,住家用,鋼筋混凝土造,0870801,48.4,1,1,1,有,無,無,16800,347,,0.0,0,,RPQNMLMKQHJGFAU96CC,整棟(戶)出租,無,1130801~1150731,無,,
花蓮市,租賃房屋,花蓮縣花蓮市建華路１４４號,238.0,工,,,1130801,土地1建物1車位0,一層,1,工廠,商業用,鋼筋混凝土加強磚造,0581020,238.0,0,0,0,無,無,無,26000,,,0.0,0,,RPTNMLMKQHJGFAU27CC,,無,1130801~1140531,無,,
花蓮市,租賃房屋,花蓮縣花蓮市信義街７２巷２號,0.0,,,,1130812,土地0建物1車位0,全,3,透天厝,商業用,鋼筋混凝土造,0841226,115.12,0,0,0,無,無,無,18000,156,,0.0,0,,RPVNMLMKQHJGFAU47CC,,無,1131001~1180930,無,冷氣,
花蓮市,租賃房屋,花蓮縣花蓮市中正路１８５號,0.0,,,,1130810,土地0建物0車位0,全,3,透天厝,住商用,鋼筋混凝土造,0840313,28.1,3,0,3,有,無,有,6500,231,,0.0,0,,RPWNMLMKQHJGFAU57CC,分租套房,無,1130810~1140809,無,冷氣、熱水器、冰箱,一般代管
花蓮市,租賃房屋,花蓮縣花蓮市中美十一街１７號,36.91,住,,,1130801,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0951016,277.58,5,2,3,有,無,有,30000,108,,0.0,0,,RPRNMLNKQHJGFAU17CC,整棟(戶)出租,無,1130801~1140730,無,冷氣、熱水器、洗衣機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市東興一街７９巷２２號六樓之五,49.02,住,,,1130806,土地1建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0911202,199.54000000000002,3,2,2,有,有,無,16000,80,,0.0,0,,RPSNMLNKQHJGFAU27CC,分層出租,有,1130810~1140809,有,,一般包租
壽豐鄉,租賃房屋,花蓮縣壽豐鄉志學新?３０之３號,0.0,,,,1130801,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,152.85,4,1,2,有,有,有,13000,85,,0.0,0,,RPTNMLNKQHJGFAU37CC,整棟(戶)出租,有,1130801~1140731,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
壽豐鄉,租賃房屋,花蓮縣壽豐鄉志學新?２９之１號,0.0,,,,1130805,土地0建物1車位0,見其他登記事項,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0880520,138.96,4,1,2,有,有,有,13500,97,,0.0,0,,RPUNMLNKQHJGFAU47CC,整棟(戶)出租,有,1130815~1140814,無,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅代管
花蓮市,租賃房屋,花蓮縣花蓮市富國路１４號四樓之三,0.0,,,,1130812,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820920,78.42,2,1,2,有,有,有,12000,153,,0.0,0,,RPVNMLNKQHJGFAU57CC,整棟(戶)出租,無,1130901~1140831,有,冷氣、熱水器、洗衣機、電視機,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市中央路四段３２０號,0.0,,,,1130806,土地0建物0車位0,全,3,透天厝,住商用,鋼鐵﹝鋼骨﹞造有牆,0950102,26.45,10,0,10,有,無,有,5000,189,,0.0,0,,RPWNMLNKQHJGFAU67CC,分租套房,無,1130811~1140810,有,冷氣、電視機、冰箱、有線電視、網路,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市中央路四段３２２號,0.0,,,,1130808,土地0建物0車位0,全,3,透天厝,住商用,鋼鐵﹝鋼骨﹞造有牆,0950102,26.45,12,0,12,有,無,有,5500,208,,0.0,0,,RPXNMLNKQHJGFAU77CC,分租套房,無,1130812~1140811,有,冷氣、電視機、冰箱、有線電視、網路,一般轉租
花蓮市,租賃房屋,花蓮縣花蓮市裕民路１３３號,0.0,,,,1130809,土地0建物0車位0,全,3,透天厝,住家用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,8,0,8,有,無,有,5300,267,,0.0,0,,RPPNMLOKQHJGFAU07CC,分租套房,無,1130726~1150725,有,冷氣、電視機、冰箱、有線電視、網路,一般轉租
吉安鄉,租賃房屋,花蓮縣吉安鄉吉昌一街１８９巷１８弄５號,0.0,,,,1130813,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0821231,126.95,3,2,2,有,無,有,18000,142,,0.0,0,,RPRNMLOKQHJGFAU27CC,整棟(戶)出租,無,1130820~1150819,無,冷氣、熱水器、洗衣機、電視機、冰箱,
花蓮市,租賃房屋,花蓮縣花蓮市軒轅路８號,0.0,,,,1130807,土地0建物0車位0,見其他登記事項,4,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0640627,12.0,8,0,8,有,無,無,9800,817,,0.0,0,,RPTNMLOKQHJGFAU47CC,分租套房,無,1130811~1140810,有,冷氣、熱水器、電視機、冰箱、有線電視,
花蓮市,租賃房屋,花蓮縣花蓮市國富十街２１１號,0.0,,,,1130807,土地0建物0車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0721105,16.37,5,0,5,有,無,有,5500,336,,0.0,0,,RPRNMLPKQHJGFAU37CC,分租套房,無,1130807~1140806,無,冷氣、熱水器、電視機、冰箱,一般代管
花蓮市,租賃房屋,花蓮縣花蓮市國盛二街２１３號四樓之六,0.0,,,,1130813,土地0建物1車位0,四層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821105,44.89,1,0,1,有,有,有,6500,145,,0.0,0,,RPSNMLPKQHJGFAU47CC,獨立套房,有,1130818~1140817,有,冷氣、熱水器、洗衣機、電視機、冰箱,社會住宅包租轉租
花蓮市,租賃房屋,花蓮縣花蓮市林森路３６１巷１號,0.0,,,,1130814,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0570805,78.83,1,2,1,有,無,無,8000,101,,0.0,0,,RPQNMLQKQHJGFAU37CC,,無,1130901~1150901,無,,
花蓮市,租賃房屋,花蓮縣花蓮市中正路２６２號,16.17,住,,,1130804,土地1建物1車位0,一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840321,115.57000000000001,4,2,2,有,有,有,16440,142,,0.0,0,依租賃契約書第一條第二項第二點所示，本租約含有一平面汽車停車位，位於地下第一層，第29號，因本屋花蓮市福安段1500建號之建物標示部→共有部份福安段1442建號及1538建號，並未標明為車位建號使用，故於此說明。,RPTNMLQKQHJGFAU67CC,整棟(戶)出租,有,1130815~1140814,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣、網路,
花蓮市,土地,民勤段847-86地號,263.0,住,,,1130815,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,無,19000,72,,0.0,0,未保登建物坪數為40坪。,RPUNMLQKQHJGFAU77CC,,,1130916~1161231,,,
花蓮市,租賃房屋,花蓮縣花蓮市裕民路１３５號,0.0,,,,1130813,土地0建物0車位0,全,3,透天厝,住家用,鋼鐵﹝鋼骨﹞造有牆,0950102,19.84,8,0,8,有,無,有,4800,242,,0.0,0,,RPPNMLTKQHJGFAU57CC,分租套房,無,1130825~1131124,有,冷氣、電視機、冰箱、有線電視、網路,一般轉租
