編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPRNMLNKQHJGFAU17CC,18,277.58,住家用,鋼筋混凝土造,95年10月16日,四層,,
RPVNMLNKQHJGFAU57CC,31,60.00,住家用,鋼筋混凝土造,82年9月20日,七層,,
RPVNMLNKQHJGFAU57CC,31,18.42,共有部份,鋼筋混凝土造,82年9月20日,七層,,
RPWNMLNKQHJGFAU67CC,19,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPQNMLMKQHJGFAU96CC,26,48.40,住家用,鋼筋混凝土造,87年8月1日,一層,,
RPSNMLNKQHJGFAU27CC,22,126.12,住家用,鋼筋混凝土造,91年12月2日,十二層,,
RPSNMLNKQHJGFAU27CC,22,73.42,共有部份,鋼筋混凝土造,91年12月2日,十四層,,
RPVNMLMKQHJGFAU47CC,29,115.12,商業用,鋼筋混凝土造,84年12月26日,三層,,
RPTNMLNKQHJGFAU37CC,25,113.78,住家用,鋼筋混凝土造,88年5月20日,五層,,
RPTNMLNKQHJGFAU37CC,25,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,
RPTNMLNKQHJGFAU37CC,25,25.67,共有部份,鋼筋混凝土造,88年5月20日,五層,,
RPUNMLNKQHJGFAU47CC,25,102.98,住家用,鋼筋混凝土造,88年5月20日,五層,,
RPWNMLMKQHJGFAU57CC,29,28.10,住商用,鋼筋混凝土造,84年3月13日,三層,,
RPUNMLNKQHJGFAU47CC,25,13.40,停車空間,鋼筋混凝土造,88年5月20日,五層,,
RPUNMLNKQHJGFAU47CC,25,22.58,共有部份,鋼筋混凝土造,88年5月20日,五層,,
RPXNMLNKQHJGFAU77CC,19,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPRNMLOKQHJGFAU27CC,31,126.95,住家用,鋼筋混凝土造,82年12月31日,二層,,
RPTNMLMKQHJGFAU27CC,55,238.00,商業用,鋼筋混凝土加強磚造,58年10月20日,一層,,
RPPNMLOKQHJGFAU07CC,19,19.84,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPRNMLPKQHJGFAU37CC,41,16.37,住家用,鋼筋混凝土加強磚造,72年11月5日,二層,,
RPSNMLPKQHJGFAU47CC,31,33.05,住家用,鋼筋混凝土造,82年11月5日,九層,,
RPSNMLPKQHJGFAU47CC,31,11.84,共有部份,鋼筋混凝土造,82年11月5日,九層,,
RPQNMLQKQHJGFAU37CC,56,78.83,住家用,鋼筋混凝土加強磚造,57年8月5日,二層,,
RPTNMLOKQHJGFAU47CC,49,12.00,商業用,鋼筋混凝土造,64年6月27日,四層,,
RPPNMLTKQHJGFAU57CC,19,19.84,住家用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPTNMLQKQHJGFAU67CC,29,93.43,住家用,鋼筋混凝土造,84年3月21日,十四層,,
RPTNMLQKQHJGFAU67CC,29,10.20,共有部份,鋼筋混凝土造,84年3月21日,十三層,,
RPTNMLQKQHJGFAU67CC,29,11.94,共有部份,鋼筋混凝土造,84年3月21日,十四層,,
RPSNMLKLQHJGFAU07CC,1,53.55,集合住宅,鋼筋混凝土造,112年12月21日,七層,,
RPSNMLKLQHJGFAU07CC,1,25.83,共有部份,鋼筋混凝土造,112年12月21日,七層,,
RPSNMLKLQHJGFAU07CC,1,12.87,共有部分（停車空間）,鋼筋混凝土造,112年12月21日,七層,,
RPQNMLTKQHJGFAU67CC,30,55.06,住家用,鋼筋混凝土造,83年3月15日,十二層,,
RPRNMLTKQHJGFAU77CC,32,23.97,住家用,鋼筋混凝土造,82年1月20日,五層,,
RPQNMLTKQHJGFAU67CC,30,14.18,共有部份,鋼筋混凝土造,83年3月15日,十二層,,
RPRNMLTKQHJGFAU77CC,32,4.61,共有部份,鋼筋混凝土造,82年1月20日,五層,,
RPQNMLKLQHJGFAU86CC,37,109.54,住家用,鋼筋混凝土造,76年11月6日,二層,,
RPPNMLKLQHJGFAU76CC,27,67.50,住家用,鋼筋混凝土造,86年8月27日,九層,,
RPPNMLKLQHJGFAU76CC,27,11.94,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPPNMLKLQHJGFAU76CC,27,8.81,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPPNMLKLQHJGFAU76CC,27,3.04,共有部份,鋼筋混凝土造,86年8月27日,九層,,
RPXNMLKLQHJGFAU57CC,28,58.13,住家用,鋼筋混凝土造,85年10月29日,十六層,,
RPXNMLKLQHJGFAU57CC,28,10.82,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPVNMLKLQHJGFAU37CC,28,49.93,住家用,鋼筋混凝土造,85年10月29日,十六層,,
RPXNMLKLQHJGFAU57CC,28,14.47,停車空間,鋼筋混凝土造,85年10月29日,十六層,,
RPVNMLKLQHJGFAU37CC,28,8.46,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPXNMLKLQHJGFAU57CC,28,16.99,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPVNMLKLQHJGFAU37CC,28,13.21,共有部份,鋼筋混凝土造,85年10月29日,十六層,,
RPOOMLKLQHJGFAU76CC,30,27.46,住家用,鋼筋混凝土造,83年11月15日,十二層,,
RPOOMLKLQHJGFAU76CC,30,8.53,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPOOMLKLQHJGFAU76CC,30,4.58,共有部份,鋼筋混凝土造,83年11月15日,十二層,,
RPTNMLKLQHJGFAU17CC,32,22.80,住家用,鋼筋混凝土造,81年6月16日,五層,,
RPTNMLKLQHJGFAU17CC,32,5.63,共有部份,鋼筋混凝土造,81年6月16日,五層,,
RPQNMLMLQHJGFAU07CC,2,39.64,住家用,鋼筋混擬土、鋼骨或鋼骨混合造,111年5月26日,四層,,
RPSNMLLLQHJGFAU17CC,3,23.14,旅館,鋼筋混凝土造,110年2月24日,五層,,
RPSNMLMLQHJGFAU27CC,19,26.45,住商用,鋼鐵﹝鋼骨﹞造有牆,95年1月2日,三層,,
RPPNMLMLQHJGFAU96CC,37,48.41,辦公廳,鋼筋混凝土造,77年2月8日,六層,,
RPPNMLMLQHJGFAU96CC,37,14.15,共有部份,鋼筋混凝土造,77年2月8日,六層,,
RPRNMLNLQHJGFAU27CC,4,53.33,店舖,鋼筋混凝土造,110年2月4日,六層,,
RPQOMLKLQHJGFAU96CC,37,33.59,住家用,鋼筋混凝土造,76年11月17日,七層,,
RPRNMLNLQHJGFAU27CC,4,9.59,共有部份,鋼筋混凝土造,110年2月4日,七層,,
RPRNMLNLQHJGFAU27CC,4,16.49,共有部份,鋼筋混凝土造,110年2月4日,六層,,
RPSNMLNLQHJGFAU37CC,29,196.61,住家用,鋼筋混凝土造,84年2月21日,三層,,
RPTNMLNLQHJGFAU47CC,41,61.26,住家用,鋼筋混凝土加強磚造,73年1月7日,二層,,
RPUNMLNLQHJGFAU57CC,42,104.28,住商用,鋼筋混凝土加強磚造,71年2月26日,二層,,
RPPNMLQLQHJGFAU47DC,31,20.32,住家用,鋼筋混凝土造,82年6月22日,七層,,
RPPNMLQLQHJGFAU47DC,31,8.13,共有部份,鋼筋混凝土造,82年6月22日,七層,,
RPTNMLRLQHJGFAU87CC,1,74.07,集合住宅,鋼筋混凝土造,112年11月14日,七層,,
RPTNMLRLQHJGFAU87CC,1,.24,管理員室,鋼筋混凝土造,112年11月14日,七層,,
RPOOMLTLQHJGFAU67CC,29,18.70,住家用,鋼筋混凝土造,84年7月1日,五層,,
RPTNMLRLQHJGFAU87CC,1,21.28,共有部份,鋼筋混凝土造,112年11月14日,七層,,
RPRNMLKMQHJGFAU07CC,36,222.54,住商用,鋼筋混凝土造,77年8月17日,三層,,
RPPNMLQLQHJGFAU37CC,18,88.54,住商用,鋼筋混凝土造,95年3月31日,五層,,
RPPNMLKMQHJGFAU86CC,11,328.98,住家用,鋼筋混凝土造,102年3月1日,三層,,
RPSNMLKMQHJGFAU17CC,20,206.37,農舍,木造,94年2月2日,二層,,
RPPNMLNJRHJGFAU96CC,18,30.25,住家用,鋼筋混凝土造,96年2月12日,四層,,
RPTNMLKMQHJGFAU27CC,14,112.64,集合住宅,鋼筋混凝土造,100年1月21日,十二層,,
RPTNMLKMQHJGFAU27CC,14,50.98,共有部份,鋼筋混凝土造,100年1月21日,十二層,,
