編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPRNMLNKQHJGFAU17CC,民勤段,36.91,都市：住,,,,04250057
RPSNMLNKQHJGFAU27CC,民孝段,49.02,都市：住,,,,00690000
RPTNMLMKQHJGFAU27CC,慈雲段,238.00,都市：工,,,,03900000
RPUNMLQKQHJGFAU77CC,民勤段,20.00,都市：其他:道路用地,,,,08470084
RPUNMLQKQHJGFAU77CC,民勤段,243.00,都市：住,,,,08470086
RPTNMLQKQHJGFAU67CC,福安段,16.17,都市：住,,,,19340000
RPRNMLKMQHJGFAU07CC,主權段,106.00,都市：住,,,,11600026
RPQNMLQLQHJGFAU57DC,慶豐段,104.00,都市：農,,,,00610001
RPQNMLQLQHJGFAU57DC,慶豐段,252.00,都市：農,,,,00610002
RPQNMLQLQHJGFAU57DC,慶豐段,114.00,都市：農,,,,00610003
RPPNMLKMQHJGFAU86CC,慈勝段,157.98,都市：農,,,,08170007
RPSNMLKMQHJGFAU17CC,永安段,1156.74,非都市：一般農業區 ; 非都市編定：農牧用地,,,,07360000
RPSNMLKMQHJGFAU17CC,永安段,1152.98,非都市：一般農業區 ; 非都市編定：農牧用地,,,,07370000
