鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
台東市,房地(土地+建物),臺東縣台東市仁一街２８０號五樓,11.54,住,,,1130904,土地1建物1車位0,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840221,46.14,1,0,1,有,無,1100000,23840,,0.0,0,賣方賣清。,RPQNMLOJRHJGFAV17DA,25.11,0.0,4.33,有,
延平鄉,土地,鸞山段1140-1地號,97.0,,山坡地保育區,交通用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,44426,458,,0.0,0,協議價購；,RPPNMLMLQHJGFCV17DA,0.0,0.0,0.0,無,01
延平鄉,土地,鸞山段1140-3地號,12.38,,山坡地保育區,交通用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5672,458,,0.0,0,協議價購；,SPPNMLMLQHJGFCV27DA,0.0,0.0,0.0,無,02
延平鄉,土地,鸞山段1140-4地號,7.46,,山坡地保育區,交通用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3417,458,,0.0,0,協議價購；,TPPNMLMLQHJGFCV37DA,0.0,0.0,0.0,無,03
台東市,土地,普優瑪段962-1地號,51.96,住,,,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1400000,26944,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLTJRHJGFAV18DA,0.0,0.0,0.0,無,
鹿野鄉,土地,四維段221地號,339.55,,一般農業區,交通用地,1130909,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,245155,722,,0.0,0,協議價購；,RPQNMLNKRHJGFCV37DA,0.0,0.0,0.0,無,
台東市,土地,大豐段470地號,399.41,,特定農業區,農牧用地,1130816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,700000,1753,,0.0,0,農作物；,RPRNMLKLQHJGFAV96DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市知本路三段２７０號,83.0,住,,,1130820,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0710701,117.16,2,1,2,有,無,2500000,21338,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；包含公共設施保留地用地；,RPSNMLPJRHJGFAV47DA,117.16,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市漢口街２１號,73.0,住,,,1130814,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0760719,76.2,3,2,2,有,無,1800000,23622,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLPJRHJGFAV27DA,76.2,0.0,0.0,無,
關山鎮,土地,南山段37地號,49.59,住,,,1130815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1575000,31760,,0.0,0,,RPPNMLQLQHJGFCV57DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市新站三街１０９號,174.82,住,,,1130805,土地1建物1車位0,全,三層,透天厝,住家用,ＲＣ造,1010703,276.89,5,2,6,有,無,17000000,61396,,0.0,0,含傢俱設備費；其他增建；,RPSNMLOJRHJGFAV37DA,254.29,22.6,0.0,無,
台東市,房地(土地+建物),臺東縣台東市岩灣路５０巷４６０號六樓,81.96,住,,,1130808,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950310,197.11,3,2,2,有,有,4600000,23337,,0.0,0,,RPRNMLOJRHJGFAV27DA,101.03,0.0,10.85,有,04
台東市,房地(土地+建物),臺東縣台東市知本路三段６號,63.78,住,,,1130824,土地4建物1車位0,全,三層,透天厝,住家用,加強磚造、木石磚造（磚石造）,0690703,133.52,2,1,2,有,無,3800000,28460,,0.0,0,,RPRNMLKKRHJGFAV96DA,133.52,0.0,0.0,無,
台東市,土地,建成段11地號,237.54,都市：其他:住宅區,,,1130814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4600000,19365,,0.0,0,,RPSNMLOKQHJGFAV37DA,0.0,0.0,0.0,無,
台東市,土地,建成段10地號,495.15,都市：其他:住宅區,,,1130814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,9660000,19509,,0.0,0,,RPTNMLOKQHJGFAV47DA,0.0,0.0,0.0,無,
台東市,土地,建成段3地號,598.15,都市：其他:住宅區,,,1130814,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,13570000,22687,,0.0,0,,RPVNMLOKQHJGFAV67DA,0.0,0.0,0.0,無,
綠島鄉,土地,新中寮段552地號,80.05,住,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,650000,8120,,0.0,0,,RPSNMLQLQHJGFAV67DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市更生路１５１巷２０號三樓之３,7.92,住,,,1130801,土地1建物1車位0,三層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830302,26.24,1,0,1,有,無,1620000,61738,,0.0,0,含傢俱設備費；,RPPNMLMKRHJGFAV96DA,18.22,0.0,0.0,有,05
台東市,房地(土地+建物),臺東縣台東市志航路一段４１２巷２７弄１２號,169.57,住,,,1130816,土地1建物1車位0,全,三層,透天厝,住家用,ＲＣ造,1030519,245.16,5,2,6,有,無,17500000,71382,,0.0,0,含傢俱設備費；其他增建；,RPQNMLMKRHJGFAV07DA,222.78,22.38,0.0,無,06
池上鄉,房地(土地+建物),臺東縣池上鄉忠孝路３４６號,104.71,住,,,1130808,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0830730,203.22,6,2,4,有,無,12300000,60526,,0.0,0,,RPPNMLSKRHJGFCV77DA,203.22,0.0,0.0,無,
台東市,車位,臺東縣台東市中興路二段４５０巷２６號,0.5,都市：其他:住宅區,,,1130829,土地1建物1車位1,一層,九層,其他,商業用,鋼筋混凝土造,0850628,39.64,0,0,0,無,無,800000,,一樓平面,0.0,800000,僅車位交易；,RPVNMLKMQHJGFAV47DA,0.0,0.0,0.0,無,
延平鄉,土地,紅葉段642-1地號,305.0,都市：其他:住宅區,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,250000,820,,0.0,0,,RPPNMLNKRHJGFCV27DA,0.0,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市長沙街７巷７弄２號,185.0,住,,,1130716,土地1建物1車位0,全,一層,透天厝,住家用,木石磚造,0480101,63.15,3,2,3,有,無,9500000,150435,,0.0,0,未登記建物；,RPPNMLMJRHJGFAV86DA,63.15,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市山西路二段５７７巷３０６號,1669.0,,特定農業區,丁種建築用地,1130710,土地1建物1車位0,見其他登記事項,一層,公寓(5樓含以下無電梯),辦公用,鋼骨造、ＲＣ造,0940713,433.8,3,2,2,有,無,31500000,72614,,0.0,0,,RPUNMLPJRHJGFAV67DA,433.8,0.0,0.0,無,
台東市,房地(土地+建物),臺東縣台東市南平街９號,83.35,商,,,1130720,土地1建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0850525,186.8,5,2,4,有,無,7800000,41756,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPXNMLPJRHJGFAV97DA,162.3,8.71,15.79,無,
台東市,房地(土地+建物),臺東縣台東市咸陽街１２１巷２１號,111.0,住,,,1130729,土地1建物1車位0,全,三層,透天厝,住家用,ＲＣ造,0970813,189.64,5,2,4,有,無,16580000,87429,,0.0,0,,RPQNMLTJRHJGFAV67DA,168.37,21.27,0.0,無,
關山鎮,土地,電光段298地號,2308.0,,特定農業區,農牧用地,1130702,土地2建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1250000,542,,0.0,0,,RPPNMLQKQHJGFCV47DA,0.0,0.0,0.0,無,
