編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLOJRHJGFAV17DA,30,1.71,共同使用部份,鋼筋混凝土造,84年2月21日,五層,,持分移轉
RPQNMLOJRHJGFAV17DA,30,7.38,避難室（共同使用）,鋼筋混凝土造,84年2月21日,五層,,持分移轉
RPQNMLOJRHJGFAV17DA,30,7.61,樓梯間走道（共同使用）門廳,鋼筋混凝土造,84年2月21日,五層,,持分移轉
RPQNMLOJRHJGFAV17DA,30,29.44,集合住宅,鋼筋混凝土造,84年2月21日,五層,五層 陽台,全筆移轉
RPSNMLPJRHJGFAV47DA,42,117.16,住家用,加強磚造,71年7月1日,二層,一層 二層,全筆移轉
RPPOMLPJRHJGFAV27DA,37,76.20,住家用,加強磚造,76年7月19日,二層,一層 二層,全筆移轉
RPRNMLOJRHJGFAV27DA,18,85.23,防空避難室、停車空間、梯廳、水箱、走道、社區活動中心、社區管理中心、突出物、儲藏室、機械室、配線室（共同使用部份）,鋼筋混凝土造,95年3月10日,十層,,持分移轉
RPRNMLOJRHJGFAV27DA,18,111.88,集合住宅,鋼筋混凝土造,95年3月10日,十層,六層 陽台,全筆移轉
RPSNMLOJRHJGFAV37DA,12,276.89,住家用,ＲＣ造,101年7月3日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLKKRHJGFAV96DA,44,133.52,住宅,加強磚造、木石磚造（磚石造）,69年7月3日,三層,一層 二層 三層,全筆移轉
RPPNMLMKRHJGFAV96DA,30,8.02,樓梯間．走道．共同使用,鋼筋混凝土造,83年3月2日,五層,,持分移轉
RPPNMLMKRHJGFAV96DA,30,18.22,集合住宅,鋼筋混凝土造,83年3月2日,五層,三層,全筆移轉
RPQNMLMKRHJGFAV07DA,10,245.16,住家用,ＲＣ造,103年5月19日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPUNMLPJRHJGFAV67DA,19,433.80,辦公室、廠房,鋼骨造、ＲＣ造,94年7月13日,一層,見其他登記事項,全筆移轉
RPPNMLSKRHJGFCV77DA,30,203.22,住家用,鋼筋混凝土造,83年7月30日,三層,一層 二層 三層 騎樓,全筆移轉
RPXNMLPJRHJGFAV97DA,28,186.80,住商用,鋼筋混凝土造,85年5月25日,三層,一層 二層 三層 陽台 屋頂突出物 騎樓,全筆移轉
RPQNMLTJRHJGFAV67DA,16,189.64,住家用,ＲＣ造,97年8月13日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLMJRHJGFAV86DA,66,63.15,住家用,木石磚造,48年1月1日,一層,一層,全筆移轉
RPVNMLKMQHJGFAV47DA,28,.05,商業用,鋼筋混凝土造,85年6月28日,九層,一層,持分移轉
RPVNMLKMQHJGFAV47DA,28,39.59,防空避難室，停車空間（共同使用）,鋼筋混凝土造,85年6月28日,九層,,持分移轉
RPQNMLKKRHJGFAV86DA,30,20.14,共同使用部份,鋼筋混凝土造,83年5月24日,五層,,持分移轉
RPQNMLKKRHJGFAV86DA,30,100.53,住家用,鋼筋混凝土造,83年5月24日,五層,五層 陽台,全筆移轉
RPVNMLPKPHJGFAV67DA,31,27.31,集合住宅（共同使用）,鋼筋混凝土造,82年10月19日,七層,,持分移轉
RPVNMLPKPHJGFAV67DA,31,10.93,樓梯間（共同使用）,鋼筋混凝土造,82年10月19日,七層,,持分移轉
RPVNMLPKPHJGFAV67DA,31,97.31,集合住宅,鋼筋混凝土造,82年10月19日,七層,六層 陽台 花台,全筆移轉
RPPNMLNKRHJGFAV07DA,2,188.88,Ｈ２住宅,ＲＣ造,111年9月7日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLTLPHJGFAV67DA,,83.89,住家用,加強磚造,,二層,一層 二層 屋頂突出物 騎樓,持分移轉
RPPNMLPKPHJGFAV07DA,12,215.40,住家用,ＲＣ造,101年2月1日,三層,一層 二層 三層 雨遮 見其他登記事項,全筆移轉
RPPNMLSLQHJGFAV57DA,29,100.22,集合住宅,鋼筋混凝土造,84年2月17日,八層,六層 陽台 花台,全筆移轉
RPPNMLSLQHJGFAV57DA,29,17.65,防空避難室暨停車空間、配電室,鋼筋混凝土造,84年2月17日,八層,,持分移轉
RPPNMLSLQHJGFAV57DA,29,12.74,車道、警衛室、托兒所、電梯、樓梯,鋼筋混凝土造,84年2月17日,八層,,持分移轉
RPQNMLNLPHJGFAV07DA,29,34.65,車道,鋼筋混凝土造,84年12月11日,三層,,持分移轉
RPQNMLNLPHJGFAV07DA,29,278.83,車庫、住宅,鋼筋混凝土造,84年12月11日,三層,一層 二層 三層 地下層 見其他登記事項,全筆移轉
RPWNMLNKQHJGFAV67DA,1,282.64,騎樓、Ｇ３店舖、Ｈ２住宅、樓梯間,ＲＣ造,112年11月8日,三層,一層 二層 三層 騎樓 見其他登記事項 見其他登記事項,全筆移轉
RPPNMLRKOHJGFCV47EA,53,153.89,住家用,磚石造蓋鐵皮,60年9月6日,一層,一層,全筆移轉
RPTOMLTJRHJGFAV08DA,,164.87,Ｈ２住宅,鋼筋混凝土造,112年11月23日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPPNMLNLQHJGFAV07DA,,165.28,Ｈ２住宅,鋼筋混凝土造,112年11月23日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPQNMLNLQHJGFAV17DA,,152.53,Ｈ２住宅,鋼筋混凝土造,112年11月16日,三層,一層 二層 三層 見其他登記事項,全筆移轉
RPRNMLKMQHJGFAV07DA,,154.72,Ｈ２住宅、停車空間,鋼筋混凝土造,112年11月16日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
