編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPQNMLNKRHJGFCV37DA,四維段,339.55,非都市：一般農業區 ; 非都市編定：交通用地,1,1,全筆移轉,02210000
TPPNMLMLQHJGFCV37DA,鸞山段,7.46,非都市：山坡地保育區 ; 非都市編定：交通用地,13,1,持分移轉,11400004
SPPNMLMLQHJGFCV27DA,鸞山段,12.38,非都市：山坡地保育區 ; 非都市編定：交通用地,13,1,持分移轉,11400003
RPVNMLTJRHJGFAV18DA,普優瑪段,51.96,都市：其他:住宅區,1,1,全筆移轉,09620001
RPRNMLKLQHJGFAV96DA,大豐段,399.41,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,04700000
RPPNMLMLQHJGFCV17DA,鸞山段,97.00,非都市：山坡地保育區 ; 非都市編定：交通用地,13,1,持分移轉,11400001
RPQNMLOJRHJGFAV17DA,馬蘭段,11.54,都市：其他:住宅區,10000,285,持分移轉,18030000
RPSNMLPJRHJGFAV47DA,建業段,77.15,都市：其他:住宅區,1,1,全筆移轉,03280000
RPSNMLPJRHJGFAV47DA,建業段,5.85,都市：其他:道路用地,1,1,全筆移轉,03280001
RPPNMLQLQHJGFCV57DA,南山段,49.59,都市：其他:住宅區,19290,4959,持分移轉,00370000
RPPOMLPJRHJGFAV27DA,中正段,73.00,都市：其他:住宅區,1,1,全筆移轉,09840000
RPVNMLOKQHJGFAV67DA,建成段,598.15,都市：其他:住宅區,1,1,全筆移轉,00030000
RPRNMLOJRHJGFAV27DA,上岩灣段,81.96,都市：其他:住宅區,100000,955,持分移轉,01980000
RPSNMLOJRHJGFAV37DA,岩灣段,174.82,都市：其他:住宅區,1,1,全筆移轉,04450000
RPRNMLKKRHJGFAV96DA,建本段,6.65,都市：其他:住宅區,1,1,全筆移轉,16000002
RPRNMLKKRHJGFAV96DA,建本段,.17,都市：其他:住宅區,1,1,全筆移轉,16020001
RPRNMLKKRHJGFAV96DA,建本段,55.42,都市：其他:住宅區,1,1,全筆移轉,16020002
RPRNMLKKRHJGFAV96DA,建本段,1.54,都市：其他:住宅區,1,1,全筆移轉,16030001
RPSNMLQLQHJGFAV67DA,新中寮段,80.05,都市：其他:住宅區,1,1,全筆移轉,05520000
RPPNMLMKRHJGFAV96DA,台東段,7.92,都市：其他:住宅區,1000,30,持分移轉,15640000
RPTNMLOKQHJGFAV47DA,建成段,495.15,都市：其他:住宅區,1,1,全筆移轉,00100000
RPQNMLMKRHJGFAV07DA,興安段,169.57,都市：其他:住宅區,1,1,全筆移轉,04120000
RPSNMLOKQHJGFAV37DA,建成段,237.54,都市：其他:住宅區,1,1,全筆移轉,00110000
RPPNMLQKQHJGFCV47DA,電光段,1299.04,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02980000
RPPNMLQKQHJGFCV47DA,電光段,1008.96,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,02990000
RPUNMLPJRHJGFAV67DA,康樂段,1669.00,非都市：特定農業區 ; 非都市編定：丁種建築用地,1,1,全筆移轉,01290000
RPPNMLSKRHJGFCV77DA,慶福段,104.71,都市：其他:住宅區,336,35,持分移轉,09550000
RPXNMLPJRHJGFAV97DA,南清段,83.35,都市：其他:商業區,1,1,全筆移轉,06330000
RPQNMLTJRHJGFAV67DA,自強段,111.00,都市：其他:住宅區,1,1,全筆移轉,04770001
RPPNMLNKRHJGFCV27DA,紅葉段,305.00,都市：其他:住宅區,1,1,全筆移轉,06420001
RPPNMLMJRHJGFAV86DA,台東段,185.00,都市：其他:住宅區,1,1,全筆移轉,06540079
RPQNMLNLQHJGFCV37DA,水井段,68.07,非都市：鄉村區 ; 非都市編定：乙種建築用地,27223,6807,持分移轉,07880001
RPUNMLQKPHJGFAV67DA,豐田段,412.00,都市：其他:住宅區,4,2,持分移轉,13150000
RPUNMLQKPHJGFAV67DA,豐田段,119.00,都市：其他:道路用地,4,2,持分移轉,13150001
RPUNMLQKPHJGFAV67DA,豐田段,155.00,都市：其他:道路用地,4,2,持分移轉,13150002
RPUNMLQKPHJGFAV67DA,豐田段,80.50,都市：其他:住宅區,4,2,持分移轉,13150003
RPUNMLQKPHJGFAV67DA,豐田段,51.00,都市：其他:住宅區,4,2,持分移轉,13150004
RPUNMLQKPHJGFAV67DA,豐田段,25.00,都市：其他:道路用地,4,2,持分移轉,13150005
RPUNMLQKPHJGFAV67DA,豐田段,1.00,都市：其他:住宅區,4,2,持分移轉,13150006
RPVNMLKMQHJGFAV47DA,豐年段,.50,都市：其他:住宅區,10000,1,持分移轉,00270000
RPPNMLKLQHJGFDV07DA,秀山段,367.04,都市：其他:道路用地,1,1,全筆移轉,09740008
RPSNMLTKPHJGFAV77DA,自強段,387.00,都市：其他:農業區,1,1,全筆移轉,08450002
RPSNMLTKPHJGFAV77DA,自強段,386.00,都市：其他:農業區,1,1,全筆移轉,08450004
RPQNMLKKRHJGFAV86DA,中山段,14.60,都市：其他:住宅區,1560,146,持分移轉,11670000
RPQNMLKKRHJGFAV86DA,中山段,16.50,都市：其他:住宅區,1760,165,持分移轉,11680000
RPVNMLPKPHJGFAV67DA,馬蘭段,23.50,都市：其他:住宅區,10000,188,持分移轉,16940000
RPPNMLNKRHJGFAV07DA,豐里段,146.31,非都市：特定農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,03400001
RPPNMLPKPHJGFAV07DA,常德段,117.13,都市：其他:住宅區,1,1,全筆移轉,10410012
RPQNMLTLPHJGFAV67DA,常德段,68.94,都市：其他:住宅區,4,2,持分移轉,02080000
RPPNMLSLQHJGFAV57DA,東海段,22.69,都市：其他:住宅區,10000,38,持分移轉,01300000
RPPNMLSLQHJGFAV57DA,東海段,1.46,都市：其他:住宅區,10000,38,持分移轉,01300002
RPVNMLNKRHJGFAV67DA,射馬干段,5000.00,非都市：特定農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,01380000
