編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPPNMLOKQHJGFAV17CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPSNMLNKQHJGFAV37CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
RPTNMLMKQHJGFAV37CC,26,64.10,集合住宅,鋼筋混凝土造,87年10月14日,七層,,
RPTNMLMKQHJGFAV37CC,26,9.58,樓梯．電梯．走道．機械房．水塔,鋼筋混凝土造,87年10月14日,七層,,
RPTNMLMKQHJGFAV37CC,26,14.50,防空避難室．停車空間．樓梯．電梯．走道．機械室．受電室（共同使用）,鋼筋混凝土造,87年10月14日,七層,,
RPPNMLPKQHJGFAV27CC,28,73.40,集合住宅,鋼筋混凝土造,85年3月26日,八層,,
RPPNMLPKQHJGFAV27CC,28,14.57,電梯．樓梯．通道．水箱．機械房．公共使用,鋼筋混凝土造,85年3月26日,八層,,
RPQNMLTKQHJGFAV77CC,44,127.68,住家用,加強磚造,69年10月4日,二層,,
RPPNMLPKQHJGFAV27CC,28,22.26,防空避難室．停車空間,鋼筋混凝土造,85年3月26日,八層,,
RPUNMLOKQHJGFAV67CC,29,51.54,人行．店舖．辦公廳,鋼筋混凝土造,84年7月21日,五層,,
RPPNMLTKQHJGFAV67CC,44,63.84,住家用,加強磚造,69年10月4日,二層,,
RPOOMLSLQHJGFAV67CC,18,32.13,住家用,鋼筋混凝土造,95年10月17日,四層,,
