鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
金湖鎮,土地,夏興段259地號,852.86,都市：其他:特別景觀區,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2500000,2931,,0.0,0,,RPPNMLKKRHJGFAW86DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮雙瓊路２９１巷３號,967.0,都市：其他:國家公園區,,,1130903,土地1建物1車位0,全,三層,透天厝,農業用,鋼筋混凝土造,1080724,297.95,5,2,2,有,無,15000000,50344,,0.0,0,,RPQNMLTJRHJGFAW77DA,289.05,2.43,6.47,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮后２之２號二樓之２,21.22,都市：其他:自然村專用區,,,1130905,土地1建物1車位0,二層,三層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1060411,37.17,1,1,1,有,有,2500000,67259,,0.0,0,,RPQNMLLKRHJGFAW07DA,24.7,0.0,3.25,有,
金城鎮,土地,東沙段993地號,1601.19,都市：其他:國家公園區,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2200000,1374,,0.0,0,,RPPNMLLKRHJGFAW07EA,0.0,0.0,0.0,無,
金沙鎮,土地,榮湖段505地號,303.34,都市：其他:道路用地,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,943667,3111,,0.0,0,,RPUNMLMKRHJGFAW57DA,0.0,0.0,0.0,無,01
金寧鄉,土地,寧湖二劃測段1098-1地號,1257.01,農,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,10056000,8000,,0.0,0,,RPTNMLPJRHJGFAW67DA,0.0,0.0,0.0,無,
金寧鄉,土地,北四劃段389地號,780.0,農,,,1130916,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2886000,3700,,0.0,0,,RPPNMLSKRHJGFAW77EA,0.0,0.0,0.0,無,
金湖鎮,土地,士校段550-4地號,158.09,都市：其他:保護區,,,1130905,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,850000,5377,,0.0,0,,RPPNMLSKRHJGFAW67DA,0.0,0.0,0.0,無,02
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２２５號３樓之３,23.53,住,,,1130903,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041125,131.64000000000001,3,2,2,有,有,8170000,62063,,0.0,0,,RPRNMLPJRHJGFAW47DA,73.38,3.01,7.01,有,
金湖鎮,土地,中五劃段663地號,967.0,都市：其他:第二類一般管制區,,,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4835000,5000,,0.0,0,,RPSNMLPJRHJGFAW57DA,0.0,0.0,0.0,無,
金沙鎮,土地,鵲山段501-3地號,2340.08,都市：其他:風景區,,,1130815,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,3300000,1410,,0.0,0,,RPQNMLTLQHJGFAW87DA,0.0,0.0,0.0,無,
金沙鎮,土地,青嶼測段407地號,317.7,都市：其他:第二類一般管制區,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,2361,,0.0,0,,RPPNMLNJRHJGFAW07DA,0.0,0.0,0.0,無,
金沙鎮,土地,青嶼測段407-2地號,317.7,都市：其他:國家公園區第二類一般管制區,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,750000,2361,,0.0,0,,RPQNMLNJRHJGFAW17DA,0.0,0.0,0.0,無,
金湖鎮,房地(土地+建物),金門縣金湖鎮市港三路２２７號３樓之９,11.27,住,,,1130813,土地1建物1車位0,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041125,61.269999999999996,1,1,1,有,有,4630000,75567,,0.0,0,,RPQNMLLKRHJGFAW17EA,33.64,0.0,4.65,有,03
金沙鎮,土地,中蘭劃測段611地號,979.99,農,,,1130816,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,4950000,5051,,0.0,0,,RPPNMLMKRHJGFAW07DA,0.0,0.0,0.0,無,04
金湖鎮,房地(土地+建物),金門縣金湖鎮湖前１６－７號,110.4,都市：其他:自然村專用區,,,1130815,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0950919,194.98,5,2,5,有,無,11000000,56416,,0.0,0,,RPTNMLMKRHJGFAW47DA,191.76,0.0,3.22,無,
金城鎮,房地(土地+建物),金門縣金城鎮環島西路一段２６號７樓,16.73,住,,,1130819,土地3建物1車位0,七層,七層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0860913,98.80000000000001,3,2,2,有,有,7200000,72874,,0.0,0,,RPQNMLNKRHJGFAW27DA,67.58,0.0,7.21,有,05
金城鎮,土地,祥瑞段428地號,354.33,,,,1130807,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,11800000,33302,,0.0,0,包含公共設施保留地用地；,RPPNMLNKRHJGFAW27EA,0.0,0.0,0.0,無,
金寧鄉,土地,慈湖段736地號,170.79,都市：其他:特別景觀區,,,1130823,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,165000,966,,0.0,0,,RPQNMLNKRHJGFAW37EA,0.0,0.0,0.0,無,
金寧鄉,土地,寧安四劃段144地號,600.0,農,,,1130822,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2900000,4833,,0.0,0,,RPWNMLRLQHJGFAW28DA,0.0,0.0,0.0,無,
金寧鄉,土地,東坑村測段4地號,10.01,都市：其他:保護區,,,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,75000,7493,,0.0,0,,RPSNMLMKRHJGFAW37DA,0.0,0.0,0.0,無,
