編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLTJRHJGFAW77DA,5,297.95,農舍,鋼筋混凝土造,108年7月24日,三層,一層 二層 三層 陽台 屋簷 地下一層,全筆移轉
RPRNMLPJRHJGFAW47DA,9,83.40,集合住宅,鋼筋混凝土造,104年11月25日,八層,三層 陽台 雨遮,全筆移轉
RPRNMLPJRHJGFAW47DA,9,48.24,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,,持分移轉
RPQNMLLKRHJGFAW07DA,7,27.95,集合住宅,鋼筋混凝土造,106年4月11日,三層,二層 陽台,全筆移轉
RPQNMLLKRHJGFAW07DA,7,9.22,共有部分：本共有部分之項目有陽台、大廳、走廊、樓電梯間、無障礙廁所、電梯機房、無障礙使用電梯、梯間、眺望台等９項。,鋼筋混凝土造,106年4月11日,三層,,持分移轉
RPQNMLNKRHJGFAW27DA,27,74.79,見使用執照,鋼筋混凝土造,86年9月13日,七層,七層 陽台,全筆移轉
RPQNMLNKRHJGFAW27DA,27,24.01,共用部分,鋼筋混凝土造,86年9月13日,七層,,持分移轉
RPQNMLLKRHJGFAW17EA,9,38.29,集合住宅,鋼筋混凝土造,104年11月25日,八層,三層 陽台,全筆移轉
RPQNMLLKRHJGFAW17EA,9,22.98,共有部分：本共有部分項目有：管委會空間、電樓梯間、梯廳、車道、走廊、防空避難室兼停車空間、受電箱、台電配電場所、電信機房、蓄水池、汙水處理機房、消防泵浦室、水箱等十三項。,鋼筋混凝土造,104年11月25日,八層,,持分移轉
RPTNMLMKRHJGFAW47DA,18,194.98,住家用,鋼筋混凝土造,95年9月19日,三層,一層 二層 三層 陽台 屋頂突出物,全筆移轉
RPRNMLQKQHJGFAW57DA,,71.17,集合住宅,鋼筋混凝土造,113年5月23日,五層,三層 陽台,全筆移轉
RPRNMLQKQHJGFAW57DA,,12.17,集合住宅：本共有部分項目有梯廳、樓梯間及機房等３項。,鋼筋混凝土造,113年5月23日,五層,,持分移轉
RPPNMLTJRHJGFAW67DA,,102.87,集合住宅,鋼筋混凝土造,113年6月7日,五層,四層 陽台,全筆移轉
RPPNMLTJRHJGFAW67DA,,27.78,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPPNMLNKRHJGFAW17DA,1,89.27,集合住宅,鋼筋混凝土造,112年6月30日,五層,一層,全筆移轉
RPPNMLLKRHJGFAW96DA,,68.57,集合住宅,鋼筋混凝土造,113年6月12日,五層,一層 陽台,全筆移轉
RPPNMLNKRHJGFAW17DA,1,14.54,集合住宅：本共有部分項目有梯廳、樓梯間、水箱及機械室等４項。,鋼筋混凝土造,112年6月30日,五層,,持分移轉
RPRNMLTKQHJGFAW87DA,,97.34,集合住宅,鋼筋混凝土造,113年6月7日,五層,三層 陽台,全筆移轉
RPRNMLTKQHJGFAW87DA,,26.57,集合住宅：本共有部分項目有甲梯、乙梯、梯坑、梯廳、水塔間、電梯機房及電信機房等７項。,鋼筋混凝土造,113年6月7日,五層,,持分移轉
RPPNMLLKRHJGFAW96DA,,16.27,集合住宅：本共有部分項目有梯廳、電梯、安全梯—甲、安全梯—乙、電信機房及昇降機間等６項。,鋼筋混凝土造,113年6月12日,五層,,持分移轉
RPUNMLRLQHJGFAW08DA,,71.17,集合住宅,鋼筋混凝土造,113年5月23日,五層,四層 陽台,全筆移轉
RPUNMLRLQHJGFAW08DA,,12.17,集合住宅：本共有部分項目有梯廳、樓梯間及機房等３項。,鋼筋混凝土造,113年5月23日,五層,,持分移轉
RPQNMLQKRHJGFAW57DA,,72.38,集合住宅,鋼筋混凝土造,113年6月12日,五層,一層 陽台,全筆移轉
RPQNMLQKRHJGFAW57DA,,17.17,集合住宅：本共有部分項目有梯廳、電梯、安全梯—甲、安全梯—乙、電信機房及昇降機間等６項。,鋼筋混凝土造,113年6月12日,五層,,持分移轉
RPPNMLLJQHJGFAW76DA,10,109.73,一般事務所,鋼筋混凝土造,104年1月9日,十層,六層 陽台 雨遮,全筆移轉
RPPNMLLJQHJGFAW76DA,10,44.98,共有部分：本共有部分之項目有樓梯間、防空避難室、水箱、無障礙電梯、台電配電室、梯廳、機房、清水池、發電機室、電信室、消防機房、升降機道、升降機房等１３項。,鋼筋混凝土造,104年1月9日,十層,,持分移轉
