編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLSKRHJGFAW67DA,士校段,158.09,都市：其他:保護區,2,1,持分移轉,05500004
RPPNMLSKRHJGFAW77EA,北四劃段,780.00,都市：其他:農業區,1,1,全筆移轉,03890000
RPSNMLPJRHJGFAW57DA,中五劃段,967.00,都市：其他:第二類一般管制區,1,1,全筆移轉,06630000
RPPNMLKKRHJGFAW86DA,夏興段,852.86,都市：其他:特別景觀區,1,1,全筆移轉,02590000
RPPNMLLKRHJGFAW07EA,東沙段,1601.19,都市：其他:國家公園區,1,1,全筆移轉,09930000
RPQNMLTJRHJGFAW77DA,中五劃段,967.00,都市：其他:國家公園區,1,1,全筆移轉,07640000
RPRNMLPJRHJGFAW47DA,市港段,23.53,都市：其他:第五種住宅區,100000,1334,持分移轉,00580000
RPTNMLPJRHJGFAW67DA,寧湖二劃測段,1257.01,都市：其他:農業區,1,1,全筆移轉,10980001
RPUNMLMKRHJGFAW57DA,榮湖段,303.34,都市：其他:道路用地,1,1,全筆移轉,05050000
RPQNMLLKRHJGFAW07DA,后壟測段,21.22,都市：其他:自然村專用區,100000,4265,持分移轉,00880000
RPQNMLTLQHJGFAW87DA,鵲山段,2340.08,都市：其他:風景區,1,1,全筆移轉,05010003
RPQNMLNJRHJGFAW17DA,青嶼測段,317.70,都市：其他:國家公園區第二類一般管制區,1,1,全筆移轉,04070002
RPPNMLNKRHJGFAW27EA,祥瑞段,354.33,都市：其他:市場用地,6,1,持分移轉,04280000
RPPNMLMKRHJGFAW07DA,中蘭劃測段,979.99,都市：其他:農業區,1,1,全筆移轉,06110000
RPQNMLNKRHJGFAW37EA,慈湖段,170.79,都市：其他:特別景觀區,1,1,全筆移轉,07360000
RPPNMLQKRHJGFAW47DA,北二三劃測段,500.00,都市：其他:農業區,1,1,全筆移轉,05330000
RPSNMLMKRHJGFAW37DA,東坑村測段,10.01,都市：其他:保護區,3,1,持分移轉,00040000
RPQNMLNKRHJGFAW27DA,北堤段,13.43,都市：其他:第三種住宅區。,10000,224,持分移轉,01060000
RPQNMLNKRHJGFAW27DA,北堤段,2.28,都市：其他:道路用地,10000,224,持分移轉,01070000
RPQNMLNKRHJGFAW27DA,北堤段,1.03,都市：其他:第三種住宅區。,10000,224,持分移轉,01080000
RPWNMLRLQHJGFAW28DA,寧安四劃段,600.00,都市：其他:農業區,1,1,全筆移轉,01440000
RPPNMLNJRHJGFAW07DA,青嶼測段,317.70,都市：其他:第二類一般管制區,1,1,全筆移轉,04070000
RPQNMLLKRHJGFAW17EA,市港段,11.27,都市：其他:第五種住宅區,100000,639,持分移轉,00580000
RPTNMLMKRHJGFAW47DA,湖前段,110.40,都市：其他:自然村專用區,1,1,全筆移轉,02660010
RPRNMLQKQHJGFAW57DA,北二三劃測段,35.89,都市：其他:自然村專用區,100000,3889,持分移轉,01660000
RPRNMLNKRHJGFAW47EA,小西門劃測段,442.06,都市：其他:農業區,1,1,全筆移轉,14290000
RPPNMLTJRHJGFAW67DA,后盤村測段,52.61,都市：其他:自然村專用區,1000,69,持分移轉,01680000
RPPNMLTJRHJGFAW67DA,后盤村測段,1.26,都市：其他:農業區,1000,69,持分移轉,01680001
RPPNMLNKRHJGFAW17DA,寧湖一劃段,52.68,都市：其他:自然村專用區,20,1,持分移轉,05180000
RPPNMLLKRHJGFAW96DA,盤山村測段,1.46,都市：其他:自然村專用區,100000,4686,持分移轉,01880006
RPRNMLTKQHJGFAW87DA,后盤村測段,50.32,都市：其他:自然村專用區,1000,66,持分移轉,01680000
RPPNMLLKRHJGFAW96DA,盤山村測段,30.46,都市：其他:自然村專用區,100000,4686,持分移轉,01900000
RPRNMLTKQHJGFAW87DA,后盤村測段,1.21,都市：其他:農業區,1000,66,持分移轉,01680001
RPPNMLLKRHJGFAW96DA,盤山村測段,2.55,都市：其他:自然村專用區,100000,4686,持分移轉,01900002
RPUNMLRLQHJGFAW08DA,北二三劃測段,35.89,都市：其他:自然村專用區,100000,3889,持分移轉,01660000
RPQNMLQKRHJGFAW57DA,盤山村測段,1.54,都市：其他:自然村專用區,100000,4944,持分移轉,01880006
RPQNMLQKRHJGFAW57DA,盤山村測段,32.14,都市：其他:自然村專用區,100000,4944,持分移轉,01900000
RPQNMLQKRHJGFAW57DA,盤山村測段,2.69,都市：其他:自然村專用區,100000,4944,持分移轉,01900002
RPRNMLNLPHJGFAW27DA,燕南山段,474.80,都市：其他:農業區,1,1,全筆移轉,08450000
RPPNMLLJQHJGFAW76DA,祥瑞段,21.86,都市：其他:第三種住宅區。,10000,445,持分移轉,07210000
