鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
馬公市,土地,海堤段400-5地號,28.83,住,,,1130902,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,859134,29800,,0.0,0,畸零地或有合併使用效益；政府機關標讓售；,RPPNMLMJRHJGFAX07DA,0.0,0.0,0.0,無,
西嶼鄉,土地,外垵一段1041地號,152.84,,鄉村區,乙種建築用地,1130904,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,3271,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQNMLOJRHJGFAX37DA,0.0,0.0,0.0,無,
馬公市,土地,海堤段331-3地號,6.4,住,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,174272,27230,,0.0,0,政府機關標讓售；,RPTNMLTJRHJGFAX28EA,0.0,0.0,0.0,無,
馬公市,土地,海堤段334-3地號,7.94,住,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,216206,27230,,0.0,0,政府機關標讓售；,SPTNMLTJRHJGFAX38EA,0.0,0.0,0.0,無,
白沙鄉,土地,下瓦硐段869地號,172.25,,一般農業區,農牧用地,1130826,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,220000,1277,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLQLQHJGFAX08DA,0.0,0.0,0.0,無,
馬公市,房地(土地+建物),澎湖縣馬公市鎖港五路６號,99.15,住,,,1130819,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1090207,234.81,5,2,6,有,無,12000000,51105,,0.0,0,,RPVNMLQJRHJGFAX08DA,214.02,20.79,0.0,無,01
馬公市,土地,安宅段1531地號,334.74,,一般農業區,農牧用地,1130820,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,400000,1195,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLNLQHJGFAX27DA,0.0,0.0,0.0,無,02
馬公市,土地,西澳段355地號,8.26,住,,,1130828,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,500000,60533,,0.0,0,,RPQNMLKMQHJGFAX17DA,0.0,0.0,0.0,無,
白沙鄉,土地,上瓦硐段288地號,2454.34,,一般農業區,農牧用地,1130812,土地5建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1430000,583,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPSNMLPJRHJGFAX67DA,0.0,0.0,0.0,無,
湖西鄉,土地,紅羅段1579地號,196.45,,一般農業區,農牧用地,1130812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5600000,28506,,0.0,0,含未來房屋價金土地交易案件之價格含未來興建房屋成本；,WPRNMLLKRHJGFAX77DA,0.0,0.0,0.0,無,03
湖西鄉,土地,紅羅段1579地號,258.89,,一般農業區,農牧用地,1130812,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,5980000,23099,,0.0,0,含未來房屋價金土地交易案件之價格含未來興建房屋成本；,XPRNMLLKRHJGFAX87DA,0.0,0.0,0.0,無,03
七美鄉,土地,七美三段1734地號,186.0,,一般農業區,甲種建築用地,1130829,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1060000,5699,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLMKRHJGFAX17DA,0.0,0.0,0.0,無,05
