編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPVNMLQJRHJGFAX08DA,5,234.81,住家用,鋼筋混凝土造,109年2月7日,三層,一層 二層 三層 見其他登記事項 見其他登記事項,全筆移轉
RPSNMLLKRHJGFAX37DA,2,66.25,集合住宅,鋼筋混凝土造,111年6月24日,五層,三層 見其他登記事項,全筆移轉
RPSNMLLKRHJGFAX37DA,2,26.94,共用部份,鋼筋混凝土造,111年6月24日,五層,,持分移轉
RPVNMLNKRHJGFAX87DA,49,86.70,住家用,鋼筋混凝土加強磚造,65年1月15日,二層,一層 二層,全筆移轉
RPQNMLMKRHJGFAX27DA,,36.59,集合住宅,鋼筋混凝土造,113年4月16日,五層,三層 見其他登記事項,全筆移轉
RPQNMLMKRHJGFAX27DA,,13.09,共有部分,鋼筋混凝土造,113年4月16日,五層,,持分移轉
RPRNMLTLQHJGFAX08DA,52,43.95,商業用,鋼筋混凝土加強空心磚造,61年8月28日,二層,一層 二層,全筆移轉
RPRNMLNJRHJGFAX37DA,,36.59,集合住宅,鋼筋混凝土造,113年4月16日,五層,五層 見其他登記事項,全筆移轉
RPRNMLNJRHJGFAX37DA,,13.09,共有部分,鋼筋混凝土造,113年4月16日,五層,,持分移轉
