編號,土地位置,土地移轉面積平方公尺,使用分區或編定,權利人持分分母,權利人持分分子,移轉情形,地號
The serial number, land position,land shifting area square meter,the use zoning or compiles and checks,,,,land parcel
RPPNMLMJRHJGFAX07DA,海堤段,28.83,都市：其他:住宅區,1,1,全筆移轉,04000005
RPPNMLNLQHJGFAX27DA,安宅段,334.74,非都市：一般農業區 ; 非都市編定：農牧用地,3,1,持分移轉,15310000
RPQNMLOJRHJGFAX37DA,外垵一段,152.84,非都市：鄉村區 ; 非都市編定：乙種建築用地,2,1,持分移轉,10410000
RPTNMLTJRHJGFAX28EA,海堤段,6.40,都市：其他:住宅區,1,1,全筆移轉,03310003
SPTNMLTJRHJGFAX38EA,海堤段,7.94,都市：其他:住宅區,1,1,全筆移轉,03340003
RPSNMLPJRHJGFAX67DA,上瓦硐段,220.71,非都市：一般農業區 ; 非都市編定：甲種建築用地,48,24,持分移轉,01640000
RPSNMLPJRHJGFAX67DA,上瓦硐段,403.88,非都市：一般農業區 ; 非都市編定：農牧用地,48,24,持分移轉,02090000
RPSNMLPJRHJGFAX67DA,上瓦硐段,893.80,非都市：一般農業區 ; 非都市編定：農牧用地,48,24,持分移轉,02880000
RPSNMLPJRHJGFAX67DA,瓦硐南段,339.56,非都市：一般農業區 ; 非都市編定：農牧用地,48,24,持分移轉,03270000
RPSNMLPJRHJGFAX67DA,上瓦硐段,596.40,非都市：一般農業區 ; 非都市編定：農牧用地,48,24,持分移轉,03360000
RPQNMLKMQHJGFAX17DA,西澳段,8.26,都市：其他:住宅區,1,1,全筆移轉,03550000
RPVNMLQJRHJGFAX08DA,北極段,99.15,都市：其他:住宅區,1,1,全筆移轉,06350002
WPRNMLLKRHJGFAX77DA,紅羅段,196.45,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6265,持分移轉,15790000
RPUNMLQLQHJGFAX08DA,下瓦硐段,172.25,非都市：一般農業區 ; 非都市編定：農牧用地,12,3,持分移轉,08690000
XPRNMLLKRHJGFAX87DA,紅羅段,258.89,非都市：一般農業區 ; 非都市編定：農牧用地,100000,8256,持分移轉,15790000
RPQNMLKKRHJGFAX07DA,赤崁中段,476.14,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,10710001
RPOOMLSLQHJGFAX77DA,鎖港南段,53.84,非都市：一般農業區 ; 非都市編定：農牧用地,2,1,持分移轉,03770002
RPPNMLMKRHJGFAX17DA,七美三段,186.00,非都市：一般農業區 ; 非都市編定：甲種建築用地,1,1,全筆移轉,17340000
RPSNMLLKRHJGFAX37DA,埕中段,27.29,都市：其他:住宅區,10000,302,持分移轉,05180000
RPTNMLMJRHJGFAX57EA,竹灣段,120.75,非都市：鄉村區 ; 非都市編定：乙種建築用地,1,1,全筆移轉,12270000
RPRNMLKKRHJGFAX17DA,嵵裡新段,57.50,非都市：鄉村區 ; 非都市編定：乙種建築用地,12,6,持分移轉,04570000
RPRNMLQJRHJGFAX67DA,光華段,840.69,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05580000
RPPNMLNKRHJGFAX27DA,國宅段,240.43,都市：其他:住宅區,1,1,全筆移轉,04800002
RPVNMLNKRHJGFAX87DA,馬公段,58.00,都市：其他:住宅區,1,1,全筆移轉,00870007
ZPRNMLLKRHJGFAX08DA,紅羅段,203.23,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6481,持分移轉,15790000
RPQNMLMKRHJGFAX27DA,五福段,14.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,868,持分移轉,11650000
RPRNMLTLQHJGFAX08DA,馬公段,27.00,都市：其他:商業區,1,1,全筆移轉,07810021
UPRNMLLKRHJGFAX57DA,紅羅段,217.87,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6948,持分移轉,15790000
TPRNMLLKRHJGFAX47DA,紅羅段,246.34,非都市：一般農業區 ; 非都市編定：農牧用地,100000,7856,持分移轉,15790000
RPRNMLNJRHJGFAX37DA,五福段,14.35,非都市：鄉村區 ; 非都市編定：乙種建築用地,10000,868,持分移轉,11650000
SPRNMLLKRHJGFAX37DA,紅羅段,393.25,非都市：一般農業區 ; 非都市編定：農牧用地,100000,12541,持分移轉,15790000
RPRNMLLKRHJGFAX27DA,紅羅段,402.66,非都市：一般農業區 ; 非都市編定：農牧用地,100000,12841,持分移轉,15790000
QQRNMLLKRHJGFAX27DA,紅羅段,206.96,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6600,持分移轉,15790000
YPRNMLLKRHJGFAX97DA,紅羅段,219.22,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6991,持分移轉,15790000
VPRNMLLKRHJGFAX67DA,紅羅段,196.67,非都市：一般農業區 ; 非都市編定：農牧用地,100000,6272,持分移轉,15790000
RPSNMLQKNHJGFAX47DA,光華段,999.76,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05590000
RQRNMLLKRHJGFAX37DA,紅羅段,227.21,非都市：一般農業區 ; 非都市編定：農牧用地,100000,7246,持分移轉,15790000
RPTNMLQKNHJGFAX57DA,光華段,566.85,非都市：一般農業區 ; 非都市編定：農牧用地,1,1,全筆移轉,05600000
